source_name,ra,dec,PMRA,sigPMRA,PMDec,sigPMDec,w1mpro,w1sigmpro,w2mpro,w2sigmpro
J035519.99+143902.2,-0.01002,0.0859,0.03007,0.0882,17.282,0.074,17.464,0.256,58.8333068,14.6506374
J114925.01-014406.6,-0.02256,0.0314,-0.01881,0.036,16.259,0.033,15.765,0.059,177.3542473,-1.7351709
J175656.87-480525.9,-0.02016,0.0214,0.04206,0.0212,15.498,0.023,15.794,0.07,269.2369725,-48.0905452
J013743.65+090749.5,-0.14238,0.1127,0.07491,0.118,17.801,0.104,17.901,0.357,24.4318933,9.130431
J161420.41+004642.6,-0.08177,0.0099,-0.08356,0.0112,14.591,0.016,14.393,0.018,243.5850476,0.7785209
J094901.85+264923.2,0.16402,0.1659,0.119,0.1902,18.171,0.143,17.586,0.295,147.2577424,26.8231252
J083716.33-000045.0,0.03692,0.1085,-0.317,0.1234,17.865,0.113,17.214,0.189,129.318069,-0.0125017
J060802.62-294520.3,-0.01462,0.0346,0.0289,0.0374,16.511,0.034,16.553,0.091,92.010938,-29.7556654
J093733.73+293120.3,-0.05163,0.0313,0.00444,0.0346,16.249,0.032,15.818,0.062,144.3905662,29.522312
J133943.75+010436.1,-0.28452,0.0653,-0.06417,0.0715,17.694,0.09,15.982,0.067,204.9323213,1.0766982
J214812.49-632353.9,0.01494,0.008,-0.02262,0.0072,13.682,0.014,13.826,0.013,327.0520636,-63.398312
J230154.75-645911.7,0.02045,0.0502,0.02025,0.0455,16.902,0.041,16.807,0.113,345.4781277,-64.9866103
J200403.12-263813.5,0.0172,0.0317,0.00251,0.0306,16.096,0.033,16.113,0.076,301.0130299,-26.6370907
J024956.47-055706.9,-0.16663,0.1656,0.46381,0.169,18.251,0.145,17.354,--,42.4853075,-5.9519319
J142950.34+333000.4,-0.06414,0.1385,0.02983,0.1487,18.248,0.126,18.072,0.345,217.4597737,33.5001176
J232748.84+045126.7,0.45892,0.0046,0.17634,0.004,7.531,0.016,7.307,0.008,351.9535171,4.8574215
J155320.46+140022.6,-0.00282,0.0211,0.02118,0.0249,15.955,0.029,15.494,0.043,238.3352764,14.0062964
J112601.05+481904.6,-0.00958,0.0057,-0.02108,0.0064,13.459,0.013,13.484,0.011,171.5043749,48.317969
J074106.62+173839.0,-0.27835,0.0067,-0.61937,0.0067,11.989,0.019,11.752,0.013,115.2776034,17.6441716
J095045.71+011715.0,-0.01797,0.0083,-0.00123,0.0098,14.314,0.014,14.388,0.019,147.6904958,1.2875253
J075117.38-253104.0,0.00122,0.0082,0.02828,0.0086,14.201,0.022,14.227,0.022,117.8224368,-25.517799
J213915.19-353004.7,0.29838,0.1494,0.30813,0.1574,18.278,0.162,17.369,0.243,324.8133078,-35.5013187
J102922.44+162626.7,-0.03686,0.0995,0.148,0.112,17.811,0.105,16.937,0.16,157.3435034,16.4407529
J161730.27+401846.2,0.03623,0.0945,0.00901,0.1094,17.951,0.079,17.683,0.204,244.3761429,40.3128576
J141115.12+393623.3,0.05778,0.0671,0.18232,0.0759,17.34,0.051,17.32,0.165,212.8130122,39.6064955
J193428.80-214222.8,-0.02143,0.0119,0.0118,0.0125,14.53,0.032,14.548,0.036,293.6200202,-21.7063371
J105036.47-451722.0,-0.02635,0.0136,0.00767,0.0152,15.202,0.019,15.27,0.033,162.6519581,-45.2894698
J115230.03+035911.1,-0.02163,0.0974,-0.18357,0.1157,17.641,0.093,16.833,0.138,178.1251603,3.9864288
J121952.27+312825.6,-0.01688,0.2828,0.0834,0.3406,18.65,0.191,17.52,--,184.9677957,31.4738039
J012836.37-280313.4,-0.0911,0.0918,0.03724,0.0859,17.543,0.075,16.941,0.14,22.1515753,-28.0537379
J064722.27+394446.2,-0.00823,0.0153,-0.0581,0.0169,15.242,0.019,14.987,0.028,101.8428285,39.7461819
J014103.10+131806.3,-0.01868,0.1089,-0.04196,0.1033,17.706,0.091,17.758,0.341,25.2629449,13.3017617
J235402.94+024012.5,0.4634,0.0381,-0.48928,0.0389,18.118,0.145,15.107,0.032,358.5122544,2.6701485
J155214.09+065028.2,0.14994,0.1536,-0.17218,0.1591,18.005,0.112,17.692,--,238.0587342,6.8411796
J083052.00+361248.5,0.35315,0.0151,-0.878,0.0174,15.323,0.024,14.985,0.03,127.7166905,36.2134968
J001449.45-083845.0,0.04485,0.122,-0.00294,0.1262,17.747,0.106,17.239,0.2,3.7060563,-8.6458447
J014304.25-703418.0,-0.02493,0.0595,-0.04771,0.0498,17.304,0.047,16.76,0.082,25.7677156,-70.571692
J105546.99+080840.7,-0.34253,0.004,-0.13661,0.004,11.133,0.013,10.879,0.009,163.9458234,8.1446501
