name,ref_discovery,flag,ref_flag,exoplanet,multiple_unresolved_in_this_table,multiple_resolved_in_this_table,has_higher_mass_companion,sep_companion,Best20b_vollim_sample,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,designation_P1_formula,ra_j2000_P1,dec_j2000_P1,ra_epoch_P1,dec_epoch_P1,epoch_mjd_P1,ref_radec_P1,g_P1,gerr_P1,g_nphot_P1,g_src_P1,ref_g_P1,r_P1,rerr_P1,r_nphot_P1,r_src_P1,ref_r_P1,i_P1,ierr_P1,i_nphot_P1,i_src_P1,ref_i_P1,z_P1,zerr_P1,z_nphot_P1,z_src_P1,ref_z_P1,y_P1,yerr_P1,y_nphot_P1,y_src_P1,ref_y_P1,G_BP_DR2,G_BPerr_DR2,G_DR2,Gerr_DR2,G_RP_DR2,G_RPerr_DR2,designation_2mass,ra_epoch_2mass,dec_epoch_2mass,epoch_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,Cflg_2MASS,designation_ukidss,Y_MKO,Yerr_MKO,ref_Y_MKO,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,designation_WISE,ra_j2000_allwise,dec_j2000_allwise,ra_epoch_allwise,dec_epoch_allwise,W1,W1err,W2,W2err,W3,W3err,W4,W4err,ref_WISE,cc_flg_WISE,nb_WISE,neigh_WISE,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,pmra_formula,pmraerr_formula,pmdec_formula,pmdecerr_formula,ref_pm_formula,plx_lit,plxerr_lit,ref_plx_lit,pmra_lit,pmraerr_lit,pmdec_lit,pmdecerr_lit,pm_lit,pmerr_lit,angle_lit,angleerr_lit,ref_pm_lit,plx_UKIRT,plxerr_UKIRT,pmra_UKIRT,pmraerr_UKIRT,pmdec_UKIRT,pmdecerr_UKIRT,ref_plx_UKIRT,GaiaDetect_DR2,ra_j2000_dr2,dec_J2000_dr2,ra_epoch_dr2,dec_epoch_dr2,plx_DR2,plxerr_DR2,pmra_DR2,pmraerr_DR2,pmdec_DR2,pmdecerr_DR2,RUWE_DR2,excessNoise_DR2,excessNoisesig_DR2,nep_DR2,sourceID_DR2,pmra_P1,pmraerr_P1,pmdec_P1,pmdecerr_P1,ref_pm_P1,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,youth,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,sptnumabs_formula,dist_plx_formula,disterr_plx_formula,sptnum_photdist_formula,MJ_2MASS_formula,dist_J_2MASS_formula,disterr_J_2MASS_formula,MJ_MKO_formula,dist_J_MKO_formula,disterr_J_MKO_formula,MKs_2MASS_formula,dist_Ks_2MASS_formula,disterr_Ks_2MASS_formula,MK_MKO_formula,dist_K_MKO_formula,disterr_K_MKO_formula,MW2_formula,dist_W2_formula,disterr_W2_formula,dist_formula,disterr_formula,dist1sig_formula,dist_formula_source,note,name_simbad,ra_j2000_simbad,dec_j2000_simbad,ref_radec_j2000_simbad,pmra_simbad,pmraerr_simbad,pmdec_simbad,pmdecerr_simbad,ref_pm_simbad,plx_simbad,plxerr_simbad,ref_plx_simbad,identifiers_simbad,firstref_simbad,rv_lit,rverr_lit,ref_rv_lit,rv_note_lit,pmra_P1_PV34,pmraerr_P1_PV34,pmdec_P1_PV34,pmdecerr_P1_PV34,ref_pm_P1_PV34,ukidss_survey,ra_ukidss,dec_ukidss,epoch_mjd_ukidss,ra_j2000_ukidss,dec_j2000_ukidss,Y_ukidss,Yerr_ukidss,J_ukidss,Jerr_ukidss,H_ukidss,Herr_ukidss,K_ukidss,Kerr_ukidss,banyan_sigma_results,banyan_sigma_max_hypo_young,banyan_sigma_max_prob_young,banyan_sigma_input_params,ra_today_formula,dec_today_formula,source_radec_today_formula
SDSS J000013.54+255418.6,Knap04,null,null,N,N,N,N,NaN,Y,0.0563,25.9055,DR2,PSO J000.0563+25.9054,0.0565,25.9050,0.0564,25.9054,55936.97,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,19.17,0.01,10,C,Cham16,17.42,0.01,11,C,Cham16,NaN,NaN,21.502,0.031,NaN,NaN,2MASS J00001354+2554180,0.056437,25.905018,1998-10-03,15.063,0.041,Cutr03,14.731,0.120,Cutr03,14.836,0.120,Cutr03,ccc,null,15.800,0.060,Dupu12,14.730,0.030,Knap04,14.740,0.030,Knap04,14.820,0.030,Knap04,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,70.8,1.9,Dupu12,-19.1,1.5,126.7,1.3,Dupu12,70.80,1.90,Dupu12,-19.10,1.50,126.70,1.30,128.13,1.30,351.43,0.67,Dupu12,NaN,NaN,NaN,NaN,NaN,NaN,null,O,0.0563380,25.9055178,0.0563380,25.9055178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2853263804002112512,-18.4,5.5,123.1,3.3,Best18,null,null,null,null,N,T5,Pine16,T4.5,Burg06b,25,24.5,24.5,24.5,14.1,0.4,24.5,14.70,11.81,2.19,14.33,12.01,2.38,14.30,12.80,3.43,14.30,12.68,3.10,NaN,NaN,NaN,14.1,0.4,13.7,dist_plx_formula,null,2MASS J00001354+2554180,0.0564,25.9050,2003yCat.2246....0C,6.00,22.00,130.00,19.00,2008MNRAS.384.1399J,70.80,1.90,2012ApJS..201...19D,2MASS J00001354+2554180|SDSS J000013.54+255418.6|SDSS J000013.53+255418.7,2004AJ....127.3553K,NaN,NaN,null,null,-25.24,6.73,131.66,5.88,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),USCO,0.00,pm+trig-plx,0.0562,25.9063,DR2; Dupu12
WISE J000517.48+373720.5,Mace13a,null,null,N,N,N,N,NaN,N,1.3229,37.6223,AllWISE,PSO J001.3229+37.6223,NaN,NaN,1.3229,37.6223,55378.60,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,null,null,18.480,0.020,Legg15,17.590,0.020,Legg15,17.980,0.020,Legg15,17.990,0.020,Legg15,WISEA J000517.49+373720.4,1.3229134,37.6223382,1.3229134,37.6223384,16.764,0.089,13.291,0.031,11.785,0.236,9.122,NaN,Cutr13,hh00,1,0,15.43,0.02,13.28,0.02,Mace13a,127,2.4,Kirk19,998.9,1.4,-267,1.4,Kirk19,127.00,2.40,Kirk19,998.90,1.40,-267.00,1.40,1033.97,1.40,104.96,0.08,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T9,Mace13a,NaN,29,29,29,7.87,0.15,29.0,NaN,NaN,NaN,17.78,9.16,1.82,NaN,NaN,NaN,18.32,8.59,2.10,13.78,8.00,0.71,7.87,0.15,7.72,dist_plx_formula,null,WISE J000517.48+373720.5,1.3228,37.6224,2013ApJ...777...36M,NaN,NaN,NaN,NaN,null,NaN,NaN,null,WISE J000517.48+373720.5|EQ J0005+3737,2012ApJ...753..156K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),ARG,0.00,pm+trig-plx,1.3302,37.6208,AllWISE; Kirk19
WISE J001505.87-461517.6,Kirk12,null,null,N,N,N,N,NaN,N,3.7745,-46.2550,AllWISE,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,null,null,NaN,NaN,null,17.721,0.028,McMa13,18.008,0.075,McMa13,NaN,NaN,null,WISEA J001505.88-461517.8,3.7745414,-46.2549683,3.7745343,-46.2549642,16.960,0.101,14.218,0.043,12.281,NaN,8.325,NaN,Cutr13,0000,1,0,16.10,0.03,14.23,0.02,Kirk19,71.8,2.7,Kirk19,409.7,1.5,-682.9,1.3,Kirk19,71.80,2.70,Kirk19,409.70,1.50,-682.90,1.30,796.37,1.36,149.04,0.10,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T8,Tinn18,NaN,28,28,28,13.9,0.5,28.0,NaN,NaN,NaN,16.38,18.52,3.67,NaN,NaN,NaN,NaN,NaN,NaN,13.43,14.39,1.29,13.9,0.5,13.4,dist_plx_formula,null,WISE J001505.87-461517.6,3.7745,-46.2549,2012yCat.2311....0C,NaN,NaN,NaN,NaN,null,NaN,NaN,null,WISE J001505.87-461517.6,2012ApJ...753..156K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),LCC,0.00,pm+trig-plx,3.7780,-46.2589,AllWISE; Kirk19
LHS 1070,McCa64c,triple,Lein94,N+N+N,Y: Lein94 | triple: Lein94,N,N,NaN,N,6.1836,-27.1374,DR2,PSO J006.1837-27.1382,6.1842,-27.1402,6.1838,-27.1382,55612.70,Magn20,15.98,0.00,4,C,Cham16,14.63,0.01,2,C,Cham16,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,15.573,0.006,13.094,0.004,11.606,0.014,2MASS J00244419-2708242,6.184143,-27.140068,1999-12-30,9.254,0.034,Cutr03,8.547,0.030,Cutr03,8.241,0.030,Cutr03,000,null,NaN,NaN,null,9.140,0.030,Dupu12,8.510,0.030,Dupu12,8.140,0.030,Dupu12,WISEA J002444.12-270817.1,6.1838629,-27.1381107,6.1838899,-27.1381321,7.811,0.023,7.613,0.020,7.346,0.019,7.159,0.141,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,139.3,1.6,Henr18,-113.4,0.5,677.9,0.3,Henr18,139.30,1.59,Henr18,-113.44,0.47,677.87,0.31,687.30,0.30,350.50,0.04,Henr18,NaN,NaN,NaN,NaN,NaN,NaN,null,O,6.1836228,-27.1373556,6.1836228,-27.1373556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2322561156528583040,-112.3,3.0,653.6,8.6,Best18,null,null,null,null,N,M6,Moha03a,null,null,6,NaN,6,6,7.18,0.08,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.18,0.08,7.1,dist_plx_formula,null,LP  881-64,6.1843,-27.1403,2012yCat.1322....0Z,-106.57,5.72,690.64,7.83,2016AJ....152...24W,132.30,11.40,2016AJ....152...24W,GJ  2005|** LEI  1|DENIS J002444.1-270825|LEHPM 558|LHS  1070|LP  881-64|2MASS J00244419-2708242|2MASSI J0024442-270825|2MUCD 10019|NLTT  1292|PLX  66.01|PM 00222-2726|PMSC 00197-2743|UCAC3 126-1078|UCAC4 315-000491|WDS J00247-2653ABcommaBC|WISEA J002444.12-270817.1|[B2006] J002444.2-270824|[GKL99]  17|[MBT64]  45|[RHG95]  83|Gaia DR2 2322561156528583040,1964RA......6..571M,-35.10,3.00,2009ApJ...705.1416R,rv_simbad,-118.53,13.36,657.34,33.99,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),TAU,0.00,pm+trig-plx+rv,6.1829,-27.1334,DR2; Henr18
PC 0025+0447,Schn91,lowg,Mart99d;Fahe16;Alle13a,N,N,N,N,NaN,N,6.9249,5.0616,DR2,PSO J006.9249+05.0615,6.9249,5.0616,6.9249,5.0616,56107.40,Magn20,NaN,NaN,NaN,null,null,22.01,0.15,13,W,Cham16,20.57,0.02,14,W,Cham16,19.08,0.03,8,C,Cham16,18.09,0.02,13,C,Cham16,NaN,NaN,21.031,0.018,NaN,NaN,2MASS J00274197+0503417,6.924889,5.061600,2000-08-12,16.189,0.093,Cutr03,15.288,0.116,Cutr03,14.964,0.116,Cutr03,000,ULAS J002741.97+050341.7,17.176,0.012,Lawr12,16.142,0.008,Lawr12,15.517,0.009,Lawr12,14.940,0.009,Lawr12,WISEA J002741.97+050341.7,6.9249074,5.0615934,6.9249063,5.0616101,14.618,0.031,14.071,0.045,12.509,0.529,9.056,NaN,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,13.2,1.6,Dahn17,10.3,0.3,-0.86,0.27,Dahn17,13.24,1.56,Dahn17,10.26,0.30,-0.86,0.27,10.30,0.30,94.80,1.50,Dahn17,NaN,NaN,NaN,NaN,NaN,NaN,null,O,6.9249206,5.0615809,6.9249206,5.0615809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2555109373337132032,12.0,3.6,-7.6,4.9,Best18,beta,Fahe16,INT-G,Alle13a,lowg,M9.5 beta,Fahe16,L0: INT-G,Alle13a,9.5,10,9.5,9.5,76,9,9.5,11.46,88.23,15.89,11.41,88.35,13.02,10.24,87.98,15.71,10.28,85.60,11.44,9.71,74.37,12.42,76,9,67,dist_plx_formula,Kirk95 find optical spectral type M9.5. Fahe16 find near-IR spectral type L0 beta. Included in the MLT spectral compilation of Test09.,PC 0025+0447,6.9249,5.0616,2003yCat.2246....0C,0.02,0.00,0.00,0.00,2016ApJ...833...96L,13.24,1.56,2017AJ....154..147D,2MASS J00274197+0503417|PC 0025+0447|ULAS J002741.97+050341.8|WISE J002741.96+050341.9|[B2006] J002742.0+050341|Gaia DR2 2555109373337132032,1991BAAS...23.1416G,NaN,NaN,null,null,10.44,4.92,-8.61,5.36,Magn20,ULAS,6.9249,5.0616,55194.73,NaN,NaN,17.176,0.012,16.142,0.008,15.517,0.009,14.940,0.009,FIELD (99.9%),TAU,0.00,pm+trig-plx,6.9250,5.0616,DR2; Dahn17
LP 349-25,Gizi00c,lowg;young,Dupu10;Dupu17,N+N,Y: Forv05,N,N,NaN,N,6.9852,22.3249,DR2,PSO J006.9847+22.3250,6.9832,22.3257,6.9847,22.3251,55806.43,Magn20,18.63,0.01,5,C,Cham16,17.20,0.00,5,C,Cham16,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,18.340,0.018,14.940,0.002,13.364,0.007,2MASS J00275592+2219328,6.983026,22.325788,1997-10-03,10.614,0.022,Cutr03,9.967,0.017,Cutr03,9.569,0.017,Cutr03,000,null,11.330,0.022,Dupu12,10.563,0.022,Dupu12,10.005,0.023,Dupu12,9.540,0.017,Dupu12,WISEA J002756.30+221930.5,6.9846090,22.3251534,6.9846044,22.3251643,9.319,0.022,9.076,0.019,8.782,0.031,8.587,0.394,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,69.2,0.9,Dupu17,407.9,1.7,-170.4,1.3,Dupu17,69.20,0.90,Dupu17,407.90,1.70,-170.40,1.30,442.06,1.65,112.67,0.18,Dupu17,NaN,NaN,NaN,NaN,NaN,NaN,null,O,6.9851847,22.3249275,6.9851847,22.3249275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2799992744809482112,413.6,2.5,-164.3,1.8,Best18,null,null,INT-G,Dupu17,lowg,M8,Gizi00c,M8 INT-G,Dupu17,8,8,8,8,14.45,0.19,7.0,10.59,13.27,2.33,10.65,12.65,1.87,9.57,13.23,2.26,9.65,12.57,1.68,NaN,NaN,NaN,14.45,0.19,14.26,dist_plx_formula,Wint17 find I-band parallax of 69.16±1.40 mas.,LP  349-25,6.9833,22.3258,2003AJ....125..984M,406.00,5.00,-170.00,2.00,2003AJ....125..984M,69.20,0.90,2017ApJS..231...15D,LP  349-25|** FRV  1|GAT 1368|LSPM J0027+2219|2MASS J00275592+2219328|2MASSI J0027559+221932|2MASSW J0027559+221932|2MUCD 10022|NLTT  1470|USNO-B1.0 1123-00007537|WDS J00279+2220AB|WISEA J002756.30+221930.5|Gaia DR2 2799992744809482112,2000AJ....120.1085G,-15.80,1.90,2012AJ....144...99D,rv_simbad,417.40,4.33,-170.75,4.04,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),ARG,0.00,pm+trig-plx+rv,6.9877,22.3239,DR2; Dupu17
2MASSW J0030300-145033,Kirk00,null,null,N,N,N,N,NaN,N,7.6256,-14.8427,PS1,PSO J007.6264-14.8427,7.6256,-14.8427,7.6264,-14.8427,56141.65,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,21.67,0.17,2,C,Cham16,19.77,0.03,9,C,Cham16,18.83,0.02,5,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,2MASS J00303013-1450333,7.625551,-14.842610,2000-10-23,16.278,0.111,Cutr03,15.273,0.100,Cutr03,14.481,0.100,Cutr03,000,null,17.610,0.060,Dupu12,16.390,0.030,Knap04,15.370,0.030,Knap04,14.490,0.030,Knap04,WISEA J003030.30-145033.7,7.6262794,-14.8427148,7.6262734,-14.8426960,13.682,0.026,13.326,0.032,12.013,NaN,8.906,NaN,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,37,5,Vrba04,245,4,-28.2,1.8,Vrba04,37.42,4.50,Vrba04,244.99,3.60,-28.17,1.84,246.60,3.60,96.56,0.42,Vrba04,41.1,5.3,256.1,3.4,-41.7,3.3,Best20a,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,255.5,7.2,-31.8,6.0,Best18,null,null,FLD-G,Liu_16,N,L7,Kirk00,L6: FLD-G,Liu_16,17,16,17,17,27,4,17.0,14.26,25.34,3.95,14.16,27.92,4.52,12.40,26.06,4.25,12.41,26.11,3.62,11.20,26.66,3.22,27,4,23,dist_plx_formula,Gagn15c find near-IR spectral type L4-L6 beta.,2MASSW J0030300-145033,7.6256,-14.8426,2003yCat.2246....0C,245.00,4.00,-28.00,2.00,2009AJ....137....1F,37.42,4.50,2012ApJ...752...56F,2MASS J00303013-1450333|2MASSI J0030300-145033|2MASSW J0030300-145033|V* GO Cet|WISE J003030.29-145033.4|[B2006] J003030.0-145033,2000AJ....120..447K,NaN,NaN,null,null,240.04,39.09,-4.02,22.39,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ARG (87.2%); CARN (8.4%); FIELD (4.4%),ARG,0.87,pm+trig-plx,7.6270,-14.8429,PS1; Vrba04
WISE J003231.09-494651.4,Kirk12,null,null,N,N,N,N,NaN,N,8.1294,-49.7811,AllWISE,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,NaN,NaN,McMa13,NaN,NaN,McMa13,18.586,0.243,McMa13,null,null,NaN,NaN,null,18.557,0.061,McMa13,18.875,0.142,McMa13,NaN,NaN,null,WISEA J003231.06-494651.9,8.1294353,-49.7810955,8.1294414,-49.7811039,17.669,0.167,15.076,0.068,12.206,0.349,9.225,NaN,Cutr13,0000,1,0,16.93,0.05,14.93,0.02,Kirk19,63.6,2.9,Kirk19,-379.3,1.7,-858.1,1.7,Kirk19,63.60,2.90,Kirk19,-379.30,1.70,-858.10,1.70,938.19,1.70,203.85,0.10,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T8.5,Tinn18,NaN,28.5,28.5,28.5,15.7,0.7,28.5,NaN,NaN,NaN,17.03,20.21,4.04,17.01,20.67,5.90,NaN,NaN,NaN,13.60,19.77,1.84,15.7,0.7,15,dist_plx_formula,null,WISE J003231.09-494651.4,8.1296,-49.7810,2012yCat.2311....0C,NaN,NaN,NaN,NaN,null,NaN,NaN,null,WISE J003231.09-494651.4,2012ApJ...753..156K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),UCL,0.00,pm+trig-plx,8.1260,-49.7861,AllWISE; Kirk19
SDSSp J003259.36+141036.6,Geba02,specblend?,Bard15,N,N,N,N,NaN,N,8.2473,14.1769,PS1,PSO J008.2483+14.1769,8.2473,14.1769,8.2484,14.1770,55979.17,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.04,0.04,7,C,Cham16,18.82,0.04,12,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,2MASS J00325937+1410371,8.247399,14.176976,2000-11-30,16.830,0.169,Cutr03,15.648,0.109,Cutr03,14.946,0.109,Cutr03,000,ULAS J003259.51+141037.1,17.830,0.027,Lawr12,16.645,0.016,Lawr12,15.689,0.011,Lawr12,15.002,0.013,Lawr12,WISEA J003259.57+141037.0,8.2482450,14.1769577,8.2482214,14.1769794,14.286,0.029,13.729,0.039,11.689,NaN,8.477,NaN,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,30,5,Vrba04,273,7,39,4,Vrba04,30.14,5.16,Vrba04,273.00,6.86,39.19,3.56,275.80,6.90,81.83,0.72,Vrba04,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,290.1,7.4,15.6,10.7,Best18,null,null,null,null,N,null,null,L9,Maro15,NaN,19,19,19,33,6,19.0,14.67,27.03,4.50,14.55,26.21,4.23,12.82,26.57,4.37,12.97,25.50,3.53,11.52,27.60,3.34,33,6,27,dist_plx_formula,DayJ13 find near-IR spectral type L9.,2MASS J00325937+1410371,8.2474,14.1770,2003yCat.2246....0C,273.00,7.00,39.00,4.00,2009AJ....137....1F,30.14,5.16,2012ApJ...752...56F,2MASS J00325937+1410371|BRLT 10|SDSS J003259.36+141036.6|ULAS J003259.51+141037.1|ULAS J003259.51+141037.2|WISEA J003259.57+141037.0|WISE J003259.56+141037.2,2002ApJ...564..466G,NaN,NaN,null,null,308.45,21.80,35.36,25.95,Magn20,ULAS,8.2480,14.1770,54356.89,NaN,NaN,17.830,0.027,16.645,0.016,15.689,0.011,15.002,0.013,FIELD (62.9%); CARN (37.0%); ARG (0.2%),CARN,0.37,pm+trig-plx,8.2489,14.1771,PS1; Vrba04
ULAS J003402.77-005206.7,Warr07b,null,null,N,N,N,N,NaN,N,8.5116,-0.8690,AllWISE,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,null,ULAS J003402.77-005206.7,18.900,0.100,Warr07b,18.150,0.030,Warr07b,18.490,0.040,Warr07b,18.480,0.050,Warr07b,WISEA J003402.79-005208.2,8.5116454,-0.8689604,8.5116484,-0.8689494,17.007,0.133,14.544,0.062,11.955,NaN,8.540,NaN,Cutr13,0000,1,0,16.23,0.03,14.50,0.02,Kirk19,68.7,1.4,Dupu12,-16.7,1,-358.8,0.8,Dupu12,68.70,1.40,Dupu12,-16.70,1.00,-358.80,0.80,359.19,0.80,182.66,0.16,Dupu12,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T9,Burn08,NaN,29,29,29,14.56,0.3,29.0,NaN,NaN,NaN,17.78,11.86,2.35,NaN,NaN,NaN,18.32,10.77,2.64,13.78,14.24,1.31,14.6,0.3,14.3,dist_plx_formula,null,CFBDS J003402-005206,8.5116,-0.8686,2013yCat.2319....0L,-16.67,0.04,-358.81,0.80,2012ApJS..201...19D,79.60,3.80,2012ApJ...752...56F,CFBDS J003402-005206|CFBDS J003402.77-005206.7|CFBDS J003402-005205|ULAS J003402.77-005206.8|ULAS J003402.77-005206.7|WISEP J003402.80-005207.4|WISE J003402.78-005208.1,2006Msngr.126....7W,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,ULAS,8.5116,-0.8686,53647.91,NaN,NaN,18.980,0.101,18.134,0.083,18.535,0.219,NaN,NaN,FIELD (99.9%),UCL,0.00,pm+trig-plx,8.5115,-0.8710,AllWISE; Dupu12
