source,value,parameter,reference,unit
SDSS J000013.54+255418.6,0.99,radius,Fili15,R_jup
2MASS J00034227-2822410,1.32,radius,Fili15,R_jup
2MASS J00040288-6410358,1.63,radius,Fili15,R_jup
2MASS J00242463-0158201,1.09,radius,Fili15,R_jup
2MASS J00274197+0503417,1.44,radius,Fili15,R_jup
2MASSW J0030300-145033,0.98,radius,Fili15,R_jup
2MASS J00332386-1521309,1.43,radius,Fili15,R_jup
2MASS J00345157+0523050,0.94,radius,Fili15,R_jup
2MASSW J0036159+182110,1.01,radius,Fili15,R_jup
HD 3651B,0.86,radius,Fili15,R_jup
2MASSW J0045214+163445,1.62,radius,Fili15,R_jup
WISEP J004701.06+680352.1,1.3,radius,Fili15,R_jup
2MASS J00501994-3322402,0.94,radius,Fili15,R_jup
2MASS J00584253-0651239,1.43,radius,Fili15,R_jup
LHS 132,1.17,radius,Fili15,R_jup
2MASSI J0103320+193536,1.34,radius,Fili15,R_jup
SDSSp J010752.33+004156.1,0.98,radius,Fili15,R_jup
GU Psc b,1.24,radius,Fili15,R_jup
2MASSI J0117474-340325,1.62,radius,Fili15,R_jup
2MASS J01415823-4633574,1.61,radius,Fili15,R_jup
SDSS J015141.69+124429.6,0.97,radius,Fili15,R_jup
SDSS J020742.48+000056.2,0.97,radius,Fili15,R_jup
2MASS J02103857-3015313,1.53,radius,Fili15,R_jup
2MASS J02340093-6442068,1.62,radius,Fili15,R_jup
2MASS J02411151-0326587,1.41,radius,Fili15,R_jup
2MASSI J0243137-245329,0.94,radius,Fili15,R_jup
LP 771-21,1.08,radius,Fili15,R_jup
2MASS J02511327+0047364,1.28,radius,Fili15,R_jup
2MASS J02530084+1652532,1.2,radius,Fili15,R_jup
2MASS J02535980+3206373,1.9,radius,Fili15,R_jup
WISEPA J025409.45+022359.1,0.97,radius,Fili15,R_jup
DENIS-P J0255-4700,0.97,radius,Fili15,R_jup
2MASS J03185403-3421292,0.97,radius,Fili15,R_jup
2MASS J03205965+1854233,1.15,radius,Fili15,R_jup
2MASS J03231002-4631237,1.66,radius,Fili15,R_jup
SDSS J032553.17+042540.1,0.95,radius,Fili15,R_jup
2MASS J03264225-2102057,1.3,radius,Fili15,R_jup
2MASSI J0328426+230205,0.98,radius,Fili15,R_jup
2MASS J03341218-4953322,1.04,radius,Fili15,R_jup
LP 944-20,1.43,radius,Fili15,R_jup
2MASP J0345432+254023,1.05,radius,Fili15,R_jup
2MASS J03510004-0052452,1.27,radius,Fili15,R_jup
2MASS J03552337+1133437,1.32,radius,Fili15,R_jup
2MASSI J0415195-093506,0.95,radius,Fili15,R_jup
2MASSI J0428510-225323,1.09,radius,Fili15,R_jup
2MASS J04351612-1606574,1.26,radius,Fili15,R_jup
2MASS J04362788-4114465,1.97,radius,Fili15,R_jup
2MASSI J0439010-235308,0.97,radius,Fili15,R_jup
2MASS J04433764+0002040,1.78,radius,Fili15,R_jup
2MASSI J0445538-304820,1.0,radius,Fili15,R_jup
