original_source,matched_source
SDSS J000013.54+255418.6,2MASS J00001354+2554180
SDSS J000112.18+153535.5,2MASS J00011217+1535355
WISEA J000131.93-084126.9,WISEA J000131.93-084126.9
SDSS J000250.98+245413.8,SDSS J000250.98+245413.8
2MASSI J0003422-282241,2MASS J00034227-2822410
2MASS J00044144-2058298,2MASS J00044144-2058298
2MASS J00054844-2157196,2MASS J00054844-2157196
ULAS J000613.24+154020.7,ULAS J000613.24+154020.7
SDSS J000614.06+160454.5,SDSS J000614.06+160454.5
2MASSI J0006205-172051,2MASSI J0006205-172051
WISEA J000622.67-131955.2,WISEA J000622.67-131955.2
WISEA J000627.85+185728.8,WISEA J000627.85+185728.8
SDSS J000632.60+140606.3,SDSS J000632.60+140606.3
SDSS J000646.81+151225.8,SDSS J000646.81+151225.8
LP 704-48,LP 704-48
SDSS J000649.16-085246.3,SDSS J000649.16-085246.3
2MASS J00070787-2458042,2MASS J00070787-2458042
WISEPC J000849.76-173922.6,WISEPC J000849.76-173922.6
2MASS J00100009-2031122,2MASS J00100009-2031122
ULAS J001040.57+010013.1,ULAS J001040.57+010013.1
LSR J0011+5908,LSR J0011+5908
2MASSI J0013578-223520,2MASSI J0013578-223520
2MASS J00135882-1816462,2MASS J00135882-1816462
WISEA J001450.17-083823.4,WISEA J001450.17-083823.4
2MASS J00150206+2959323,2MASS J00150206+2959323
2MASSW J0015447+351603,2MASS J00154476+3516026
SDSS J001608.44-004302.3,SDSS J001608.44-004302.3
SDSS J001637.62-103911.2,SDSS J001637.62-103911.2
PSO J004.1834+23.0741,PSO J004.1834+23.0741
ULAS J001836.51-002559.1,ULAS J001836.51-002559.1
PSO J004.7148+51.8918,PSO J004.7148+51.8918
PSO J004.7818+41.0231,PSO J004.7818+41.0231
SDSS J001911.65+003017.8,SDSS J001911.65+003017.8
2MASS J00192626+4614078,2MASS J00192626+4614078
NLTT 1011B,NLTT 1011B
2MASSI J0019457+521317,2MASSI J0019457+521317
SDSS J002138.86+002605.8,SDSS J002138.86+002605.8
SDSS J002209.31-011040.2,SDSS J002209.31-011040.2
ULAS J002406.37+134705.3,ULAS J002406.37+134705.3
ULAS J002422.94+002247.9,ULAS J002422.94+002247.9
BRI 0021-0214,DY Psc
2MASSI J0025036+475919,2MASS J00250365+4759191
LHS 1074,LHS 1074
SDSS J002611.45-094341.1,SDSS J002611.45-094341.1
ULAS J002707.24+142349.0,ULAS J002707.24+142349.0
PSO J031.5651+20.9097,PSO J031.5651+20.9097
PC 0025+0447,2MASS J00274197+0503417
LP 349-25,2MASS J00275592+2219328
SDSS J002800.37+010252.0,SDSS J002800.37+010252.0
2MASS J00282091+2249050,2MASS J00282091+2249050
ULAS J002827.56+142349.1,ULAS J002827.56+142349.1
2MASSI J0028394+150141,2MASSI J0028394+150141
2MASS J00285545-1927165,2MASS J00285545-1927165
ULAS J002912.25+145604.9,ULAS J002912.25+145604.9
HIP 2397B,HIP 2397B
2MASSW J0030300-145033,2MASS J00303013-1450333
2MASSW J0030438+313932,2MASSW J0030438+313932
WISE J003110.04+574936.3,2MASS J00310928+5749364
PSO J007.9194+33.5961,PSO J007.9194+33.5961
2MASS J00315477+0649463,2MASS J00315477+0649463
2MASS J00320509+0219017,2MASS J00320509+0219017
2MASSI J0032431-223727,2MASSI J0032431-223727
SDSSp J003259.36+141036.6,2MASS J00325937+1410371
2MASS J00332386-1521309,2MASS J00332386-1521309
WISEA J003338.45+282732.4,WISEA J003338.45+282732.4
2MASS J00345157+0523050,2MASS J00345157+0523050
2MASSI J0034568-070601,2MASS J00345684-0706013
SDSS J003524.44+144739.8,SDSS J003524.44+144739.8
SDSS J003609.26+241343.3,SDSS J003609.26+241343.3
2MASSW J0036159+182110,2MASS J00361617+1821104
ULAS J003716.06-005404.7,ULAS J003716.06-005404.7
WISE J003830.54+840517.7,WISE J003830.54+840517.7
SDSS J003843.99+134339.5,SDSS J003843.99+134339.5
HD 3651B,54 Psc B
WISE J004024.88+090054.8,WISE J004024.88+090054.8
SDSS J004058.93+152845.0,SDSS J004058.93+152845.0
2MASS J00412179+3547133,2MASS J00412179+3547133
SDSS J004154.54+134135.5,SDSS J004154.54+134135.5
SDSS J004221.15+145923.9,SDSS J004221.15+145923.9
2MASS J00425923+1142104,2MASS J00425923+1142104
WISEA J004326.26+222124.0,WISEA J004326.26+222124.0
LHS 1135,2MASS J00433134+2054316
ULAS J004355.61+141117.6,ULAS J004355.61+141117.6
2MASSW J0045214+163445,2MASS J00452143+1634446
ULAS J004539.97+135032.7,ULAS J004539.97+135032.7
WISE J004542.56+361139.1,WISE J004542.56+361139.1
2MASS J00461551+0252004,2MASS J00461551+0252004
2MASS J00464841+0715177,2MASS J00464841+0715177
WISEP J004701.06+680352.1,2MASS J00470038+6803543
ULAS J004757.41+154641.4,ULAS J004757.41+154641.4
2MASS J00492677-0635467,2MASS J00492677-0635467
WISEPC J004928.48+044100.1,WISEP J004928.48+044100.1
WISE J004945.61+215120.0,WISE J004945.61+215120.0
SIPS J0050-1538,SIPS J0050-1538
ULAS J005038.20-000336.6,ULAS J005038.20-000336.6
2MASSW J0051107-154417,2MASS J00511078-1544169
2MASS J00521232+0012172,2MASS J00521232+0012172
RG 0050-2722,RG 0050-2722
SDSS J005349.11-011354.4,SDSS J005349.11-011354.4
SDSSp J005406.55-003101.8,SDSSp J005406.55-003101.8
2MASS J00550564+0134365,2MASS J00550564+0134365
LHS 1166,LHS 1166
SDSS J005636.22-011131.9,SDSS J005636.22-011131.9
SDSS J005705.55-084624.2,SDSS J005705.55-084624.2
WISEA J005757.64+201304.0,WISEA J005757.64+201304.0
2MASSW J0058425-065123,SIPS J0058-0651
