Source,Spectrum,Regime,Telescope,Instrument,Mode,ref
CWISE J020538.20+594452.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0205%2B5944.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J022454.80+152629.5,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0224%2B1526.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J022737.75+083008.8,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0227%2B0830.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J055515.83+510514.0,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0555%2B5105.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J062000.01+344641.3,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0620%2B3446.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J062648.96+594129.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0626%2B5941.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J062727.34-002826.8,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0627-0028.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J065752.45+163350.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0657%2B1633.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J073831.31+525453.7,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0738%2B5254.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J094352.22+335639.1,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-0943%2B3356.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J101523.92-111539.6,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1015-1115.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J103734.29-050749.8,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1037-0507.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J104053.42-355029.7,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1040-3550.fits,NIR,Magellan I Baade,FIRE,Prism,Roth24
CWISE J130329.90+512754.0,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1303%2B5127.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J130446.64-120023.6,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1304-1200.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J131355.15+223005.6,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1313%2B2230.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J132857.58-063747.4,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1328-0637.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J133427.70-273053.1,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1334-2730.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J141737.21+041847.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1417%2B0418.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J143935.94-804851.5,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1439%2B2600.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J152742.44-121528.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1527-1215.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J160654.19-103214.7,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1606-1032.fits,NIR,SOAR,TS4,MISSING,Roth24
CWISE J162511.27+774946.8,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1625%2B7749.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J171700.57+724437.3,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1717%2B7244.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J174426.85+230355.1,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1744%2B2303_2.fits,NIR,Keck,NIRES,MISSING,Roth24
CWISE J174426.85+230355.1,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1744%2B2304.fits,OPT,Lick,Kast,MISSING,Roth24
CWISE J174509.03+380733.2,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1745%2B3807.fits,NIR,IRTF,SpeX,Prism,Roth24
CWISE J195956.16-644318.1,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-1959-6443.fits,NIR,Magellan I Baade,FIRE,Prism,Roth24
CWISE J200304.70-142228.9,https://bdnyc.s3.us-east-1.amazonaws.com/Roth24/AUS-2003-1422.fits,NIR,IRTF,SpeX,Prism,Roth24
