code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Abaz09,2009ApJS..182..543A,Abazajian:2009ef,Abazajian et al. (2009),The Seventh Data Release of the Sloan Digital Sky Survey
Aber14b,2014AJ....148..129A,Aberasturi:2014cc,Aberasturi et al. (2014b),Constraints on the Binary Properties of Mid- to Late T Dwarfs from Hubble Space Telescope WFC3 Observations
Adam11,2011ApJ...726L...3A,Adame:2011db,Adame et al. (2011),Spitzer Spectroscopy of the Circumprimary Disk in the Binary Brown Dwarf 2MASS J04414489+2301513
Adel07,2007ApJS..172..634A,AdelmanMcCarthy:2007cz,Adelman-McCarthy et al. (2007),The Fifth Data Release of the Sloan Digital Sky Survey
Adel08,2008ApJS..175..297A,AdelmanMcCarthy:2008gy,Adelman-McCarthy et al. (2008),The Sixth Data Release of the Sloan Digital Sky Survey
Agan16,2016AJ....151...46A,Aganze:2016fi,Aganze et al. (2016),Characterization of the Very-low-mass Secondary in the GJ 660.1AB System
Ahn_12,2012ApJS..203...21A,Ahn:2012ih,Ahn et al. (2012),The Ninth Data Release of the Sloan Digital Sky Survey: First Spectroscopic Data from the SDSS-III Baryon Oscillation Spectroscopic Survey
Alam15,2015ApJS..219...12A,Alam:2015go,Alam et al. (2015),The Eleventh and Twelfth Data Releases of the Sloan Digital Sky Survey: Final Data from SDSS-III
Albe11,2011AJ....141..203A,Albert:2011bc,Albert et al. (2011),37 New T-type Brown Dwarfs in the Canada-France Brown Dwarfs Survey
Alca20,2020A&A...635L...1A,Alcala:2020ja,Alcalá et al. (2020),2MASS J15491331-3539118: a new low-mass wide companion of the GQ Lup system
Alle06,2006ApJ...644..364A,Allers:2006ge,Allers et al. (2006),"Young, Low-Mass Brown Dwarfs with Mid-Infrared Excesses"
Alle07a,2007ApJ...657..511A,Allers:2007ja,Allers et al. (2007),Characterizing Young Brown Dwarfs Using Low-Resolution Near-Infrared Spectra
Alle07b,2007AJ....133..971A,Allen:2007hd,Allen et al. (2007b),A New Brown Dwarf Desert? A Scarcity of Wide Ultracool Binaries
