shortname,source,reference,disc_ref,SpT,spt_ref,ra,dec,epoch,J_MKO,J_err,H_MKO,H_err,MKO_ref,W1_mag,W1_err,W2_mag,W2_err,W3_mag,W3_err,W4_mag,W4_err,WISE_ref,ch1_mag,ch1_err,ch2_mag,ch2_err,Spizter_ref,plx_mas,plx_err,muRA_masyr,muRA_err,muDEC_masyr,muDEC_err,astrometry_ref
0302-5817,WISEA J030237.52-581740.3,Tinn18,Tinney+2018,Y0,Tinney+2018,45.656121,-58.294668,2014.0,-,-,-,-,-,19.262,nan,15.809,0.091,12.940,nan,9.323,nan,Cutri+2013,18.187,0.092,15.844,0.019,Kirkpatrick+2019,56.1,4.4,41.2,4.9,-76.4,5.2,Kirk19
0304-2705,WISE J030449.03-270508.3,Pinf14,Pinfield+2014,Y0pec,Pinfield+2014,46.2045,-27.085116,2014.0,20.79,0.09,21.02,0.16,Pinfield+2014,19.140,nan,15.592,0.088,12.775,nan,8.705,nan,Cutri+2013,17.706,0.033,15.494,0.016,Kirkpatrick+2019,81.5,7.7,128.0,7.9,497.2,6.5,Kirk19
0336-0143,WISE J033605.05-014350.4,Mace13,Mace+2013,Y0,Martin+2018,54.020859,-1.732166,2014.0,21.10,nan,20.20,nan,Martin+2018,18.449,0.470,14.557,0.057,12.066,nan,8.688,nan,Cutri+2013,17.254,0.059,14.625,14.625,Kirkpatrick+2019,99.0,2.4,-257.8,1.2,-1212.3,1.2,Kirk19
0350-5658,WISE J035000.32-565830.2,Kirk12,Kirkpatrick+2012,Y1,Kirkpatrick+2012,57.501,-56.975637,2014.0,22.09,0.12,22.51,0.20,Leggett+2015,22.260,nan,14.745,0.044,12.325,0.282,8.931,nan,Cutri+2013,17.936,0.096,14.688,0.020,Schneider+2015,174.6,2.6,-216.5,1.3,-579.0,1.4,Kirk19
0359-5401,WISE J035934.06-540154.6,Kirk12,Kirkpatrick+2012,Y0,Kirkpatrick+2012,59.891824,-54.032512,2014.0,21.53,0.11,21.72,0.17,Leggett+2015,19.031,nan,15.384,0.054,12.877,nan,9.566,nan,Cutri+2013,17.553,0.072,15.326,0.023,Schneider+2015,75.8,2.5,-143.0,1.3,-774.8,1.5,Kirk19
0410+1502,WISEP J041022.71+150248.5,Cush11,Cushing+2011,Y0,Cushing+2011,62.595853,15.044417,2014.0,19.44,0.03,20.02,0.05,Leggett+2013,18.170,nan,14.113,0.047,12.314,0.500,8.842,nan,Cutri+2013,16.636,0.042,14.166,0.019,Schneider+2015,150.2,2.4,954.2,1.1,-2213.3,1.1,Kirk19
0535-7500,WISE J053516.80-750024.9,Kirk12,Kirkpatrick+2012,≥Y1,Schneider+2015,83.819481,-75.006736,2014.0,22.50,0.20,23.34,0.34,Leggett+2015,17.940,0.143,14.904,0.047,12.349,nan,9.427,0.465,Cutri+2013,17.753,0.084,15.009,0.021,Schneider+2015,66.4,2.4,-123.7,1.1,19.6,1.1,Kirk19
0647-6232,WISE J064723.23-623235.5,Kirk13,Kirkpatrick+2013,Y1,Kirkpatrick+2013,101.846795,-62.542827,2014.0,22.94,0.10,23.31,0.17,Leggett+2017,19.539,nan,15.224,0.051,12.961,nan,9.437,nan,Cutri+2013,17.893,0.092,15.07,0.022,Schneider+2015,100.3,2.4,2.2,1.0,387.9,1.1,Kirk19
0713-2917,WISE J071322.55-291751.9,Kirk12,Kirkpatrick+2012,Y0,Kirkpatrick+2012,108.344415,-29.298188,2014.0,19.98,0.05,20.19,0.08,Leggett+2015,18.776,nan,14.462,0.052,12.294,0.355,9.153,nan,Cutri+2013,16.673,0.043,14.223,0.019,Kirkpatrick+2019,107.5,2.4,356.5,1.3,-413.8,1.3,Kirk19
0734-7157,WISE J073444.02-715744.0,Kirk12,Kirkpatrick+2012,Y0,Kirkpatrick+2012,113.681527,-71.962324,2014.0,20.05,0.05,20.92,0.12,Leggett+2015,18.749,0.281,15.189,0.05,12.959,nan,9.843,0.462,Cutri+2013,17.649,0.077,15.213,0.022,Schneider+2015,75.0,2.4,-565.5,1.3,-78.9,1.3,Kirk19
