NAME,RA,DEC,LIT_SPT,Discovery Ref.,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
WISEA J000430.66−260402.3,1.128,-26.067,sdT2,Greco et al. 2019,,,,,,,,,,,,,
WISEA J001354.40+063448.1,3.477,6.580,sdT8,Greco et al. 2019,,,,,,,,,,,,,
UNCOVER-BD-1,3.533,-30.370,sdT1,Burgasser et al. 2024,,,,,,,,,,,,,
WISEA J001450.17−083823.4,3.705,-8.639,esdL0,Kirkpatrick et al. 2019,,,,,,,,,,,,,
ULAS J002009.34+160451.1,5.039,16.081,sdM9,Zhang et al. 2018c,,,,,,,,,,,,,
LSPM J0029+0717,7.279,7.283,sdM7,Zhang et al. 2013,,,,,3000.557,3000.144,3001.513,5.222,5.211,5.232,-0.753,-0.772,-0.738
2MASS J00412179+3547133,10.341,35.787,sdL0.5,Zhang et al. 2017a,,,,,,,,,,,,,
WISEA J004326.26+222124.0,10.859,22.358,sdL1,Kirkpatrick et al. 2019,,,,,,,,,,,,,
SDSS J004539.96+135032.6,11.417,13.842,sdM7.5,Lodieu et al. 2012,,,,,,,,,,,,,
2MASS J00554279+1301043,13.928,13.018,sdM7,Kirkpatrick et al. 2010,,,,,,,,,,,,,
2MASS J00575687+2013075,14.487,20.219,sdL7,Zhang et al. 2013,,,,,,,,,,,,,
SDSS J010448.46+153501.8,16.202,15.584,usdL1.5,Zhang et al. 2017b,,,,,,,,,,,,,
ULAS J010756.85+100811.3,16.987,10.136,sdM7,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J01151621+3130061,18.818,31.502,sdM8,Burgasser et al. 2004,,,,,,,,,,,,,
WISEA J011639.05−165420.5,19.161,-16.906,sdL0,Schneider et al. 2016,,,,,,,,,,,,,
ULAS J011824.89+034130.4,19.604,3.692,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
