NAME,RA,DEC,LIT_SPT,Discovery Ref.,ADS_Link,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
WISEA J000430.66−260402.3,1.1277310,-26.0665630,sdT2,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
WISEA J001354.40+063448.1,3.4766290,6.5800500,sdT8,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
UNCOVER-BD-1,3.5331892,-30.3701419,sdT1,Burgasser et al. 2024,https://ui.adsabs.harvard.edu/abs/2023arXiv230812107B/abstract,,,,,,,,,,,,,
WISEA J001450.17−083823.4,3.7046392,-8.6390397,esdL0,Kirkpatrick et al. 2019,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,,,,,,,,,
ULAS J002009.34+160451.1,5.0389330,16.0808790,sdM9,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
LSPM J0029+0717,7.2787183,7.2833484,sdM7,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,3000.557,3000.144,3001.513,5.222,5.211,5.232,-0.753,-0.772,-0.738
2MASS J00412179+3547133,10.3408790,35.7870536,sdL0.5,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
WISEA J004326.26+222124.0,10.8588758,22.3578851,sdL1,Kirkpatrick et al. 2019,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,,,,,,,,,
SDSS J004539.96+135032.6,11.4165400,13.8424200,sdM7.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
2MASS J00554279+1301043,13.9283256,13.0179339,sdM7,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
2MASS J00575687+2013075,14.4869650,20.2187610,sdL7,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,,,,,,,,,
SDSS J010448.46+153501.8,16.2019570,15.5838600,usdL1.5,Zhang et al. 2017b,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..261Z/abstract,,,,,,,,,,,,,
ULAS J010756.85+100811.3,16.9869130,10.1364800,sdM7,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
2MASS J01151621+3130061,18.8178538,31.5017099,sdM8,Burgasser et al. 2004,https://ui.adsabs.harvard.edu/abs/2004AJ....127.2856B/abstract,,,,,,,,,,,,,
WISEA J011639.05−165420.5,19.1609290,-16.9058841,sdL0,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
ULAS J011824.89+034130.4,19.6037330,3.6917860,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J011840.73+084424.7,19.6697170,8.7402050,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
WISEA J013012.66−104732.4,22.5523774,-10.7913536,sdL0,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
