Object,Primary,RA,Dec,SpT_Secondary,SpT_Primary,d_Primary (pc),Separation (arcsec),Proj_Sep (AU),Age (Gyr),Ref,Parallax (mas),ePlx
2MASS J00193275+4018576,LP 192-58,4.8859931,40.3151441,L2,K7,55.21 $\pm$ 0.11,58.5,3990,0.3-10,"1, 2",18.1127,0.0358
2MASS J00302476+2244492,BD+21 55,7.6042199,22.7461537,L0.5,K2,37.91 $\pm$ 0.14,117.1,3970,0.5-10,"1, 2",26.3748,0.0965
HD 3651 B,HD 3651,9.829614,21.254559,T7.5,K0.5V,11.14 $\pm$ 0.01,43,480,0.7-4.7,"1, 2, 8, 9, 23",89.7891,0.0581
HD 4113 C,HD 4113,10.8025,-37.9826306,T9,G5V+M1V,41.92 $\pm$ 0.09,0.535,22,3-6,27,23.8531,0.0536
HD 4747 B,HD 4747,12.361505,-23.212463,L/T,G8/K0V,18.85 $\pm$ 0.01,0.61,10,0.9-3.7,18,53.0526,0.0282
ULAS J014016.91+015054.7,BD+01 299,25.071311,1.8484382,T5,K5,38.56 $\pm$ 0.03,31,35-45,6.5-13.5,"3, 12",25.93338328,0.019936247
2MASS J01591078+3312313,HD 12051,29.7959843,33.207192,L6,G9V,24.77 $\pm$ 0.02,52.1,1300,2.2-10.2,"1, 2",40.3763,0.0425
HD 13724 B,HD 13724,33.086156,-46.816377,T4,G3/5V,43.48 $\pm$ 0.06,0.24,26.3,0.05-1.5,26,23,0.03
2MASS J02233667+5240066,HD 14647,35.902796,52.668514,L1.5,F5,80.41 $\pm$ 0.46,47.7,3300,0.5-2.4,2,12.43641025,0.07154321
2MASS J02355993-2331205,HD 16270,39.00019195,-23.52224277,L1,K2.5Vk,21.22 $\pm$ 0.02,11.95,250,<1,"1, 3",47.1279,0.0475
HD 19467 B,HD 19467,46.827,-13.762028,T5.5,G3V,32.03 $\pm$ 0.02,1.6,51,4-10,13,31.21913928,0.023966862
HIP 21152 B,HIP 21152,68.019917,5.409944,L/T,F5V,43.21 $\pm$ 0.05,408,17.5,0.65-0.85,"1, 29",,
HD 33632 Ab,HD 33632,78.3208,37.2808,L9.5,F8V,26.39 $\pm$ 0.02,0.75,20,1.2-4.5,19,37.8953,0.0263
2MASS J05394952+525352,HD 37216,84.9566683,52.8992533,L5,G5V,28.08 $\pm$ 0.04,27,753,1.1-9.3,"1, 2",35.6141,0.0464
2MASS J06135342+1514062,HD 253662,93.4725944,15.234332,L0.5,G8IV,86.46 $\pm$ 0.34,20.1,$>$ 1252,$<$ 10,"1, 2",11.5667,0.0461
AB Pic B,AB Pic,94.804162,-58.055611,L1,K1V,50.14 $\pm$ 0.03,5.5,250-270,0.03,"1, 16, 23",19.9452,0.0124
2MASS J06324849+5053351,LSPM J0632+5053,98.202075,50.893106,L1.5,G2,82.58 $\pm$ 0.13,47.4,4499,0.2-10,2,12.10950754,0.019127956
2MASS J06462756+7935045,HD 46588,101.6121946,79.5818179,L9,F7V,18.21 $\pm$ 0.04,79.2,1420,1.3-4.3,"1, 2",54.9292,0.1076
HD 47197 B,HD 47197,102.339167,43.759194,L4,F5V,41.47 $\pm$ 0.05,0.8,43,0.26-0.79,"1, 15",24.1155,0.0318
2MASS J07580132-2538587,HD 65486,119.5073205,-25.6508698,T4.5,K4Vk,18.48 $\pm$ 0.01,88,1630,0.3-2.8,"1, 2",54.1012,0.0386
eta Cnc B,eta Cnc,128.132502,20.449967,L3.5,K3III,97.48 $\pm$ 0.83,2.2-3.5,154,15000,"1, 17",10.258,0.088
HD 72946 B,HD 72946,128.963611,6.62277,L5,G8V,25.87 $\pm$ 0.08,6.5,10,1-2,"1, 28",,
2MASS J10221489+4114266,HD 89744,155.5623583,41.2457764,L0,F7V,38.68 $\pm$ 0.11,2460,63,1.5-3,"1, 2, 23",25.8537,0.0716
2MASS J11102921-2925186,CD-28 8692,167.621714,-29.4221669,L2,K5V,39.79 $\pm$ 0.07,50.8,2026,9.5-13.5,"1, 25",25.1329,0.0417
2MASS J12173646+1427119,HD 106888,184.4015804,14.4531479,L1,F8,67.18 $\pm$ 0.57,38.1,2170,0.3-2.5,"1, 4",14.8863,0.1274
WISE J124332.17+600126.6,BD+60 1417,190.88386,60.023957,L8$\gamma$,K0,44.96 $\pm$ 0.03,37,1662,0.01-0.15,11,22.24367115,0.013506583
