CatWISE,2MASS Designation,Other Name,Primary,RA,Dec,SpT Secondary,SpT Primary,Primary RA,Primary Dec,Distance (pc),d_error,Parallax (mas),ePlx,Separation (arcsec),Separation (AU),Age (Gyr),Ref
J001932.63+401854.5,J00193275+4018576,NLTT 1011 B,LP 192-58,4.8859931,40.3151441,L2,K7,4.894185,40.30166,55.20988036,0.108907828,18.1127,0.0358,58.5,3990,0.3-10,"36, 97"
J003025.01+224446.1,J00302476+2244492,,BD+21 55,7.6042199,22.7461537,L0.5,K2,7.6293,22.76894,37.91497945,0.1382174475,26.3748,0.0965,117.1,3970,0.5-10,"36, 97"
...,,HD 3651 B,HD 3651,9.829614,21.254559,T7.5,K0.5V,9.840856,21.250476,11.1372093,0.007201914591,89.7891,0.0581,43,480,0.7-4.7,"36, 97, 98, 107"
,,HD 4113 C,HD 4113,10.8025,-37.9826306,T9,G5V+M1V,10.802482,-37.982633,41.92327203,0.0939940427,23.8531,0.0536,0.535,22,3-6,119
,,HD 4747 B,HD 4747,12.361505,-23.212463,L/T,G8/K0V,12.361502,-23.212464,18.84921757,0.01001393979,53.0526,0.0282,0.61,10,0.9-3.7,94
J014017.11+015054.3,,ULAS J014016.91+015054.7,BD+01 299,25.071311,1.8484382,T5,K5,25.074848,1.855952,38.56033704,0.02962042689,25.93338328,0.019936247,31,35-45,6.5-13.5,"101, 113"
J015911.03+331225.9,J01591078+3312313,,HD 12051,29.7959843,33.2071997,L6,G9V,29.777639,33.209683,24.76700441,0.02604227951,40.3763,0.0425,52.1,1300,2.2-10.2,"36, 97"
,,HD 13724 B,HD 13724,33.086156,-46.816377,T4,G3/5V,33.086155,-46.816376,43.47826087,0.05663690083,23,0.03,12.4,,0.05-1.5,96
...,J02233667+5240066,,HD 14647,35.902796,52.668514,L1.5,F5,35.904571,52.681706,80.40905531,0.4599251146,12.43641025,0.07154321,47.7,3300,0.5-2.4,97
...,J02355993-2331205,HD 16270B,HD 16270,39.00019195,-23.52224277,L1,K2.5Vk,39.003233,-23.521324,21.21885338,0.02136485404,47.1279,0.0475,11.95,250,<1,"36,101"
...,,HD 19467 B,HD 19467,46.827,-13.762028,T5.5,G3V,46.827396,-13.761783,32.03163262,0.02457174761,31.21913928,0.023966862,1.6,51,4-10,99
...,,HIP 21152 B,HIP 21152,68.019917,5.409944,L/T,F5V,68.020036,5.410041,43.208,0.05,,,,17.5,0.65-0.85,"36,93"
,,HD 33632 Ab,HD 33632 Aa,78.3208,37.2808,L9.5,F8V,78.322699,37.337311,26.38849673,0.0183013761,37.8953,0.0263,0.75,20,1.2-4.5,100
J053949.60+525357.3,J05394952+5253597,,HD 37216,84.9566683,52.8992533,L5,G5V,84.968115,52.897487,28.07876656,0.03653495515,35.6141,0.0464,27,753,1.1-9.3,"36, 97"
J061353.42+151403.5,J06135342+1514062,,HD 253662,93.4725944,15.234332,L0.5,G8IV,93.474872,15.229856,86.45508226,0.343205712,11.5667,0.0461,20.1,>1252,<10,"36, 97"
,,AB Pic B,AB Pic,94.804162,-58.055611,L1,K1V,94.803804,-58.054313,50.13737641,0.03115121395,19.9452,0.0124,5.5,250-270,0.03,"4,36"
...,J06324849+5053351,,LSPM J0632+5053,98.202075,50.893106,L1.5,G2,98.222905,50.892693,82.57974132,0.1302357268,12.10950754,0.019127956,47.4,4499,0.2-10,97
J064626.92+793454.5,J06462756+7935045,,HD 46588,101.6121946,79.5818179,L9,F7V,101.558958,79.564811,18.20525331,0.03559228109,54.9292,0.1076,79.2,1420,1.3-4.3,"36, 97"
,,HD 47197 B,HD 47197,102.339167,43.759194,L4,F5V,102.338895,43.759106,41.46710622,0.05460875451,24.1155,0.0318,0.8,43,0.26-0.79,"3,36"
J075801.75-253903.1,J07580132-2538587,,HD 65486,119.5073205,-25.6508698,T4.5,K4Vk,119.51821,-25.626629,18.48387836,0.01317843259,54.1012,0.0386,88,1630,0.3-2.8,"36, 97"
,,eta Cnc B,eta Cnc,128.132502,20.449967,L3.5,K3III,128.177068,20.441162,97.48488984,0.8291774895,10.258,0.088,154,15000,2.2-3.5,"5, 36"
...,,HD 72946 B,HD 72946,128.963611,6.62277,L5,G8V,128.963611,6.622765,25.87,0.08,,,6.5,10,1-2,"36, 92"
