Source,Host,Separation,Relationship,ref
CWISE J000021.45-481314.9,TYC 8025-428-1,57,Child,Roth24
CWISE J002029.72-153527.5,WDJ002027.83-153546.50,31,Child,Roth24
CWISE J002101.45-334631.5,UCAC3 113-933 ,116,Child,Roth24
CWISE J002159.02-451434.4,2MASS J00215427-4514590,54,Child,Roth24
CWISE J002414.30-403053.7,WT 5AB,78,Child,Roth24
CWISE J002658.73-260859.6,CD-26 134 ,29,Child,Roth24
CWISE J004218.67+291730.6,TYC 1744-123-1 ,103,Child,Roth24
CWISE J004945.38+423619.3,LAMOST J004950.95+423653.6,70,Child,Roth24
CWISE J005635.48-240401.9,CD-24 407 ,102,Child,Roth24
CWISE J010424.50+133949.8,LP 466-214 ,164,Child,Roth24
CWISE J011003.61-592650.8,WDJ011001.84-592642.22,15,Child,Roth24
CWISE J012715.52-300246.9,LP 883-372 ,51,Child,Roth24
CWISE J013719.04+342837.6,CWISE J013716.34+342352.7,287,Child,Roth24
CWISE J015905.58+105551.5,CWISE J015905.30+105543.2,9,Child,Roth24
CWISE J020538.20+594452.2,NLTT 6937 ,4,Child,Roth24
CWISE J022454.80+152629.5,CWISE J022454.10+152633.8,11,Parent,Roth24
CWISE J022737.75+083008.8,G 73-59 ,16,Child,Roth24
CWISE J025645.16-335008.9,CWISE J025638.42-335454.9,298,Child,Roth24
CWISE J030005.73-062218.6,BPS CS 22963-0014 ,63,Child,Roth24
CWISE J032853.32-112332.6,CWISE J032852.72-112345.6,16,Child,Roth24
CWISE J040351.12-491605.4,UCAC4 204-003910,33,Child,Roth24
CWISE J040702.50+190944.6,LSPM J0407+1911AB,298,Child,Roth24
CWISE J055515.83+510514.0,G 192-8 ,23,Child,Roth24
CWISE J055909.00-384219.8,HD 40781 ,54,Child,Roth24
CWISE J060202.17-462447.8,WDJ060159.98-462534.40,52,Child,Roth24
CWISE J062000.01+344641.3,CWISE J061959.56+344631.3,12,Child,Roth24
CWISE J062648.96+594129.2,LAMOST J062631.15+593341.3        ,488,Child,Roth24
CWISE J062727.34-002826.8,CWISE J062725.95-002843.8,27,Parent,Roth24
CWISE J062909.21+395701.6,CWISE J062911.12+395632.8,36,Child,Roth24
CWISE J065752.45+163350.2,HD 51400 ,61,Child,Roth24
CWISE J073831.31+525453.7,LSPM J0738+5254,11,Child,Roth24
CWISE J080912.95+741704.3,LP 17-276 ,402,Child,Roth24
CWISE J085131.24-603056.2,TYC 8927-2833-1 ,95,Child,Roth24
CWISE J085938.91+534908.4,G 194-47AB,319,Child,Roth24
CWISE J091558.53+254713.0,StKM 1-760,555,Child,Roth24
CWISE J091902.55-574837.3,WISEA J091900.48-574847.1,19,Child,Roth24
CWISE J094352.22+335639.1,2MASS J09435055+3356550,28,Child,Roth24
CWISE J095259.54-505418.9,2MASS J09530410-5055203,73,Child,Roth24
CWISE J101017.43-242300.4,UCAC4 328-061594 ,486,Child,Roth24
CWISE J101317.51-010313.6,LP 609-46 ,13,Child,Roth24
CWISE J101523.92-111539.6,CWISE J101533.05-111501.0AB,140,Child,Roth24
ULAS J103131.49+123736.4,BD+13 2269 ,42,Child,Roth24
CWISE J103734.29-050749.8,LP 670-45 ,30,Child,Roth24
CWISE J104053.42-355029.7,UPM J1040-3551,66,Child,Roth24
CWISE J115229.05-351105.9,LP 961-51 ,113,Child,Roth24
CWISE J124033.48+460544.7,CWISE J124032.46+460559.9,19,Child,Roth24
CWISE J125858.20+001133.2,LP 616-93 ,25,Child,Roth24
CWISE J130329.90+512754.0,2MASS J13032992+5127582       ,5,Child,Roth24
CWISE J130446.64-120023.6,CWISE J130446.94-120024.4,4,Child,Roth24
CWISE J131355.15+223005.6,LP 378-789 ,29,Child,Roth24
CWISE J132539.70+022309.4,LP 617-58 ,31,Child,Roth24
CWISE J132857.58-063747.4,LP 677-81 ,19,Child,Roth24
CWISE J133211.93-374837.9,CWISE J133211.59-374953.3,76,Child,Roth24
CWISE J133427.70-273053.1,HD 117987 ,48,Child,Roth24
SDSS J134403.83+083950.9,NLTT 35024 ,925,Child,Roth24
CWISE J141737.21+041847.2,LSPM J1417+0418,24,Child,Roth24
CWISE J143935.94-804851.5,WISEA J143934.77-804838.8,13,Child,Roth24
CWISE J143951.51+260000.3,CWISE J143951.66+255944.8,16,Child,Roth24
CWISE J144057.87+380432.8,CWISE J144058.48+380422.1,13,Child,Roth24
CWISE J151939.68-485820.4,CWISE J151940.47-485810.2,13,Sibling,Roth24
CWISE J152742.44-121528.2,CWISE J152740.12-121551.7,42,Child,Roth24
CWISE J153910.07+722757.2,LSPM J1539+7227,42,Child,Roth24
CWISE J160654.19-103214.7,CWISE J160653.16-103210.6,16,Child,Roth24
CWISE J162511.27+774946.8,UCAC4 840-013771 ,313,Child,Roth24
CWISE J165143.63+695259.4,CWISE J165141.67+695306.6,13,Child,Roth24
CWISE J165325.10+490439.7,BD+49 2561AB,53,Child,Roth24
CWISE J171308.00+644220.8,LP 70-189 ,23,Child,Roth24
CWISE J171700.57+724437.3,CWISE J171701.09+724449.2,12,Child,Roth24
CWISE J173859.73+200501.2,CWISE J173859.73+200501.2B,1,Sibling,Roth24
CWISE J174426.85+230355.1,LP 389-13 ,8,Child,Roth24
CWISE J174509.03+380733.2,StKM 1-1526,68,Child,Roth24
CWISE J183207.94-540943.3,HD 170573 ,619,Child,Roth24
CWISE J190909.62+553027.1,CWISE J190907.63+553037.3,20,Child,Roth24
CWISE J192425.03-532837.1,UPM J1924-5328,21,Child,Roth24
CWISE J195956.16-644318.1,HD188769 ,521,Child,Roth24
CWISE J200304.70-142228.9,CWISE J200301.62-142230.0,45,Child,Roth24
CWISE J200813.66-124502.4,LP 754-21 ,83,Child,Roth24
CWISE J202934.80-791013.1,SCR J2029-7910,34,Child,Roth24
CWISE J205247.07+053855.7,LSPM J2052+0539,13,Child,Roth24
CWISE J210640.16+250729.0,BD+24 4329 ,1124,Child,Roth24
CWISE J212342.88+655615.6,WDJ212231.86+660043.69,510,Child,Roth24
CWISE J214129.80-024623.6,TYC 5213-545-1 ,114,Child,Roth24
CWISE J214213.99-204659.8,CWISE J214209.46-204646.1,65,Child,Roth24
CWISE J221418.15+253432.2,LSPM J2214+2534,28,Child,Roth24
CWISE J224452.18-362946.0,LEHPM 5083,74,Child,Roth24
CWISE J225525.22-302320.8,LP 933-24AB,251,Child,Roth24
CWISE J231824.58+052142.3,WISEA J231825.63+052141.6,15,Child,Roth24
CWISE J233531.55+014219.6,GJ 900,587,Child,Roth24
CWISE J235827.96-521813.4,UCAC4 189-203856 ,30,Child,Roth24
