Source,Host,Parameter,Value,upper_error,lower_error,Unit,Comments,Ref,RA,DEC
CWISE J000021.45-481314.9,TYC 8025-428-1,Age,5,4,4,Gyr,field age. derived from rotation ,Roth24,0.0893808,-48.2208077
CWISE J000021.45-481314.9,TYC 8025-428-1,Metallicity,-0.07,0.03,0.04,Dex,derived from mh_gspspec,GaiaDR3,0.0893808,-48.2208077
CWISE J002029.72-153527.5,WDJ002027.83-153546.50,Age,6.2,3.90,1.3,Gyr,derived from Cooling Time,Roth24,5.1238388,15.5909815
CWISE J002101.45-334631.5,UCAC3 113-933 ,Age,0.55,0.45,0.45,Gyr,,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,5.2560473,-33.7754218
CWISE J002101.45-334631.5,UCAC3 113-933 ,Metallicity,-0.22,0.10,0.32,Dex,derived from mh_gspspec,GaiaDR3,5.2560473,-33.7754218
CWISE J002414.30-403053.7,WT 5AB,Metallicity,-0.096,0.004,0.003,Dex,derived from mh_gsppho,GaiaDR3,6.0596207,-40.5149259
CWISE J002658.73-260859.6,CD-26 134 ,Age,5,4,4,Gyr,field age. ,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,6.7447362,-26.1499067
CWISE J002658.73-260859.6,CD-26 134 ,Metallicity,0.06,0.01,0.01,Dex,derived from mh_gspspec,GaiaDR3,6.7447362,-26.1499067
CWISE J004218.67+291730.6,TYC 1744-123-1 ,Metallicity,-0.03,0.09,0.11,Dex,derived from mh_gspspec,GaiaDR3,10.5777904,29.2918566
CWISE J004945.38+423619.3,LAMOST J004950.95+423653.6,Metallicity,-0.43,0.25,0.27,Dex,derived from mh_gspspec,GaiaDR3,12.439107,42.6053806
CWISE J005635.48-240401.9,CD-24 407 ,Age,5,4,4,Gyr,field age. ,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,14.1478506,-24.0672083
CWISE J005635.48-240401.9,CD-24 407 ,Metallicity,-0.12,0.01,0.01,Dex,derived from mh_gsppho,GaiaDR3,14.1478506,-24.0672083
CWISE J011003.61-592650.8,WDJ011001.84-592642.22,Age ,5.9,4.8,3,Gyr,"Minimum age of system, taken from cooling age of host",Roth24,17.5150429,-59.4474481
CWISE J012715.52-300246.9,WDJ011001.84-592642.22,Metallicity,-0.14,0.3,0.05,Dex,derived from mh_gspspec,GaiaDR3,21.8146967,-30.0463841
CWISE J013719.04+342837.6,CWISE J013716.34+342352.7,Metallicity,-0.61,0.24,0.29,Dex,derived from mh_gspspec,GaiaDR3,24.3293435,34.4771182
CWISE J015905.58+105551.5,CWISE J015905.30+105543.2,Metallicity,-0.22,0.01,0.02,Dex,derived from mh_gsppho,GaiaDR3,29.773276,10.9309815
CWISE J020538.20+594452.2,NLTT 6937 ,Age,5,4,4,Gyr,field age. derived from rotation ,Roth24,31.40993946,59.74890954
CWISE J020538.20+594452.2,NLTT 6937 ,Metallicity,-2.03,0.30,0.01,Dex,derived from mh_gspspec,GaiaDR3,31.40993946,59.74890954
CWISE J025645.16-335008.9,CWISE J025638.42-335454.9,Age,0.25,0.15,0.15,Gyr,derived from rotation,Roth24,44.188202,-33.8358082
CWISE J025645.16-335008.9,CWISE J025638.42-335454.9,Metallicity,-1.22,0.00,0.00,Dex,derived from mh_gsppho,GaiaDR3,44.188202,-33.8358082
CWISE J030005.73-062218.6,BPS CS 22963-0014 ,Metallicity,-0.52,0.08,0.05,Dex,derived from mh_gspspec,GaiaDR3,45.0238923,-6.371848
CWISE J032853.32-112332.6,CWISE J032852.72-112345.6,Metallicity,-0.10,0.01,0.01,Dex,derived from mh_gsppho,GaiaDR3,52.2221958,-11.3924108
CWISE J040351.12-491605.4,UCAC4 204-003910,Metallicity,-0.40,0.04,0.07,Dex,derived from mh_gspspec,GaiaDR3,60.9630035,-49.268193
CWISE J040702.50+190944.6,LSPM J0407+1911AB,Metallicity,-0.42,0.16,0.16,Dex,derived from [Fe/H],https://ui.adsabs.harvard.edu/abs/2022ApJS..260...45D/abstract,61.7604385,19.1623904
CWISE J055515.83+510514.0,G 192-8 ,Metallicity,-0.86,0.29,0.51,Dex,derived from mh_gspspec,GaiaDR3,88.8159856,51.0872307
CWISE J055909.00-384219.8,HD 40781 ,Age,0.3,0.1,0.1,Gyr,derived from rotation,Roth24,89.787502,-38.7055027
CWISE J055909.00-384219.8,HD 40781 ,Metallicity,-0.20,0.01,0.01,Dex,derived from mh_gspspec,GaiaDR3,89.787502,-38.7055027
CWISE J060202.17-462447.8,WDJ060159.98-462534.40,Age ,10.9,2.6,2,Gyr,derived from cooling time,Roth24,90.509052,-46.4132863
CWISE J062000.01+344641.3,CWISE J061959.56+344631.3,Metallicity,-0.12,0.02,0.00,Dex,derived from mh_gsppho,GaiaDR3,95.0000552,34.7781567
CWISE J062648.96+594129.2,LAMOST J062631.15+593341.3        ,Metallicity,-0.81,0.14,0.2,Dex,derived from mh_gspspec,GaiaDR3,96.7040383,59.6914571
CWISE J065752.45+163350.2,HD 51400 ,Age,0.65,0.05,0.05,Gyr,derived from rotation,Roth24,104.4685682,16.5639658
CWISE J065752.45+163350.2,HD 51400 ,Metallicity,0.01,0.01,0.01,Dex,derived from mh_gspspec,GaiaDR3,104.4685682,16.5639658
CWISE J080912.95+741704.3,LP 17-276 ,Metallicity,-0.19,0.01,0.03,Dex,derived from mh_gsppho,GaiaDR3,122.3039975,74.2845438
CWISE J085131.24-603056.2,TYC 8927-2833-1 ,Age,0.2,0.1,0.1,Gyr,derived from rotation,Roth24,132.8801846,-60.5156128
CWISE J085131.24-603056.2,TYC 8927-2833-1 ,Metallicity,-0.02,0.02,0.02,Dex,derived from mh_gspspec,GaiaDR3,132.8801846,-60.5156128
CWISE J085938.91+534908.4,G 194-47AB,Metallicity,-1.19,0.94,0.07,Dex,derived from mh_gspspec,GaiaDR3,134.91216,53.81901
CWISE J091558.53+254713.0,StKM 1-760,Age ,3.2,0.4,0.3,Gyr,derived from cooling time,Roth24,138.9939062,25.7869589
CWISE J091558.53+254713.0,StKM 1-760,Metallicity,-0.03,0.05,0.04,Dex,derived from mh_gspspec,GaiaDR3,138.9939062,25.7869589
CWISE J094352.22+335639.1,2MASS J09435055+3356550,Metallicity,0.07,0.01,0.01,Dex,derived from [Fe/H],https://ui.adsabs.harvard.edu/abs/2022AJ....163..152S/abstract,145.9676104,33.9442094
CWISE J095259.54-505418.9,2MASS J09530410-5055203,Metallicity,-0.45,0.05,0.11,Dex,derived from mh_gsppho,GaiaDR3,148.2480941,-50.905256
