name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
SDSS J000013.54+255418.6,2MASS J00001354+2554180,0.05647,25.905,1200,0.94,4.5,-4.78,0.04
PSO J000.2794+16.6237,Gaia DR2 2772504778021649152,0.2792,16.6241,2600,1.33,4.0,-3.12,0.03
WISEA J000131.93-084126.9,2MASS J00013166-0841234,0.382,-8.69,2300,0.74,4.0,-3.86,0.06
SDSS J000250.98+245413.8,2MASS J00025097+2454141,0.7124,24.9039,1800,0.76,5.0,-4.25,0.12
2MASS J00054844-2157196,SSSPM J0006-2157,1.4519,-21.9555,2500,1.05,4.5,-3.41,0.02
2MASSI J0006205-172051,2MASS J00062050-1720506,1.5854,-17.3475,1700,1.39,5.5,-3.84,0.07
WISEA J000622.67-131955.2,2MASS J00062287-1319503,1.5953,-13.3308,1500,1.01,5.5,-4.33,0.14
SDSS J000632.60+140606.3,2MASS J00063258+1406064,1.6358,14.1018,2300,0.95,4.0,-3.65,0.07
2MASS J00070787-2458042,LEHPM 193,1.7829,-24.9679,2500,1.38,4.0,-3.17,0.02
PSO J002.0878+52.0687,Null,2.0877,52.0697,1200,0.81,5.0,-4.91,0.13
2MASS J00100009-2031122,2MASSI J0010001-203112,2.5004,-20.5201,2400,0.82,3.5,-3.7,0.02
2MASS J00132229-1143006,2MASS J00132229-1143006,3.343,-11.7168,1200,0.92,4.5,-4.8,0.07
2MASSI J0013578-223520,2MASS J00135779-2235200,3.4908,-22.589,1700,0.91,5.5,-4.21,0.05
2MASS J00135882-1816462,2MASS J00135882-1816462,3.4953,-18.2797,1700,1.17,5.5,-3.99,0.03
2MASS J00145575-4844171,2MASS J00145575-4844171,3.7324,-48.738,1800,1.16,5.5,-3.89,0.02
2MASS J00150206+2959323,2MASS J00150206+2959323,3.7586,29.9923,1700,0.95,5.5,-4.16,0.03
2MASSW J0015447+351603,2MASSW J0015447+351603,3.9366,35.2674,1700,1.36,5.5,-3.85,0.03
SDSS J001608.44-004302.3,2MASS J00160844-0043021,4.0352,-0.7174,1800,0.65,5.0,-4.39,0.12
SDSS J001637.62-103911.2,2MASS J00163762-1039106,4.1568,-10.653,2400,0.98,3.5,-3.55,0.04
PSO J004.1834+23.0741,2MASS J00164364+2304262,4.182,23.0739,1800,0.48,5.5,-4.67,0.07
2MASS J00165953-4056541,2MASS J00165953-4056541,4.2481,-40.9483,1800,1.3,5.0,-3.79,0.03
PSO J004.6359+56.8370,PSO J004.6359+56.8370,4.6357,56.8369,1100,0.9,4.0,-4.96,0.08
PSO J004.7148+51.8918,PSO J004.7148+51.8918,4.7133,51.8918,1600,0.81,4.0,-4.41,0.13
SDSS J001911.65+003017.8,2MASS J00191165+0030176,4.7986,0.5049,1800,1.54,5.5,-3.64,0.03
2MASS J00192626+4614078,PM J00194+4614,4.8594,46.2355,2600,2.05,4.0,-2.77,0.02
NLTT 1011B,2MASS J00193275+4018576,4.8865,40.3159,1800,1.54,5.5,-3.64,0.06
2MASS J00193927-3724392,2MASS J00193927-3724392,4.9137,-37.4109,1700,1.52,5.5,-3.76,0.06
Koenigstuhl 1B,Koenigstuhl 1B,5.2747,-42.7454,1900,1.72,5.5,-3.47,0.02
SDSS J002209.31-011040.2,2MASS J00220932-0110399,5.5388,-1.1778,2400,0.99,3.5,-3.53,0.05
PSO J005.6302-06.8669,PSO J005.6302-06.8669,5.6307,-6.8671,1200,1.43,5.0,-4.41,0.1
BRI 0021-0214,V* DY Psc,6.1026,-1.9722,1800,2.01,5.5,-3.4,0.02
PC 0025+0447,PC 0025+0447,6.9249,5.0616,2300,0.97,3.5,-3.63,0.11
2MASS J00282091+2249050,2MASS J00282091+2249050,7.0875,22.8178,1800,0.78,5.0,-4.23,0.04
2MASSI J0028394+150141,2MASSI J0028394+150141,7.1643,15.0282,1700,0.92,4.5,-4.2,0.24
2MASS J00285545-1927165,2MASS J00285545-1927165,7.231,-19.4546,1800,2.19,5.5,-3.34,0.02
HIP 2397B,2MASS J00302476+2244492,7.6033,22.7469,2300,0.94,4.0,-3.66,0.02
2MASSW J0030300-145033,2MASSW J0030300-145033,7.6256,-14.8427,1600,0.81,5.5,-4.42,0.13
2MASSW J0030438+313932,2MASSW J0030438+313932,7.6827,31.6589,1800,1.39,5.5,-3.74,0.05
PSO J007.9194+33.5961,2MASS J00314067+3335459,7.9195,33.5961,1500,0.71,5.5,-4.64,0.1
2MASS J00320509+0219017,2MASS J00320509+0219017,8.0212,2.3172,1800,1.29,5.5,-3.79,0.02
2MASSI J0032431-223727,2MASS J00324308-2237272,8.1796,-22.6242,2300,0.84,3.5,-3.77,0.04
EROS-MP J0032-4405,EROS-MP J0032-4405,8.2327,-44.0849,1800,1.53,5.5,-3.65,0.03
SDSSp J003259.36+141036.6,2MASS J00325937+1410371,8.2473,14.1769,1700,0.71,5.5,-4.42,0.15
2MASS J00332386-1521309,2MASS J00332386-1521309,8.3495,-15.3586,1700,0.91,5.5,-4.2,0.03
2MASS J00345157+0523050,2MASS J00345157+0523050,8.7144,5.3846,900,0.81,5.5,-5.41,0.06
2MASSI J0034568-070601,2MASS J00345684-0706013,8.7369,-7.1004,1800,0.58,5.0,-4.5,0.19
SDSS J003609.26+241343.3,2MASS J00360925+2413434,9.0386,24.2287,1800,0.71,4.5,-4.34,0.13
SDSS J003843.99+134339.5,2MASS J00384398+1343395,9.6833,13.7276,1900,1.84,5.5,-3.41,0.09
HD 3651B,*  54 Psc B,9.8288,21.2547,800,0.83,4.5,-5.6,0.06
PSO J009.8334+58.5781,2MASS J00391959+5834426,9.8318,58.5785,1700,0.79,5.5,-4.34,0.14
WISE J004024.88+090054.8,2MASS J00402492+0900547,10.1039,9.0152,900,0.89,4.0,-5.33,0.05
