name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
SDSS J000013.54+255418.6,2MASS J00001354+2554180,0.0565,25.905,1130,91,1.06,0.17,25.16,20.44,4.76,0.49
PSO J000.2794+16.6237,Gaia DR2 2772504778021649152,0.2792,16.6241,2499,129,1.46,0.15,45.49,18.46,4.74,0.28
WISEA J000131.93-084126.9,2MASS J00013166-0841234,0.382,-8.69,1931,193,1.04,0.21,64.0,24.52,5.18,0.42
SDSS J000250.98+245413.8,2MASS J00025097+2454141,0.7124,24.9039,1369,67,1.33,0.11,11.74,10.11,4.32,0.25
2MASS J00054844-2157196,SSSPM J0006-2157,1.4519,-21.9555,2467,212,1.07,0.18,81.47,26.08,5.26,0.38
2MASSI J0006205-172051,2MASS J00062050-1720506,1.5854,-17.3475,1951,194,1.04,0.2,64.73,24.47,5.19,0.42
WISEA J000622.67-131955.2,2MASS J00062287-1319503,1.5953,-13.3308,1467,137,1.06,0.18,44.04,24.44,5.01,0.48
SDSS J000632.60+140606.3,2MASS J00063258+1406064,1.6358,14.1018,2195,203,1.03,0.19,67.41,24.62,5.22,0.39
2MASS J00070787-2458042,LEHPM 193,1.7829,-24.9679,2692,213,1.19,0.19,95.14,27.73,5.25,0.36
PSO J002.0878+52.0687,Null,2.0877,52.0697,1046,88,1.07,0.17,23.17,19.62,4.72,0.5
2MASS J00100009-2031122,2MASSI J0010001-203112,2.5004,-20.5201,2146,199,1.01,0.19,65.79,24.33,5.22,0.39
2MASS J00132229-1143006,2MASS J00132229-1143006,3.343,-11.7168,1007,15,1.31,0.01,7.77,0.48,4.07,0.03
2MASSI J0013578-223520,2MASS J00135779-2235200,3.4908,-22.589,1574,147,1.05,0.19,49.67,24.13,5.07,0.46
2MASS J00135882-1816462,2MASS J00135882-1816462,3.4953,-18.2797,1870,27,0.96,0.01,77.6,1.64,5.34,0.01
2MASS J00145575-4844171,2MASS J00145575-4844171,3.7324,-48.738,1901,185,1.04,0.2,63.09,24.41,5.18,0.42
2MASS J00150206+2959323,2MASS J00150206+2959323,3.7586,29.9923,1744,11,0.9,0.01,74.89,0.33,5.38,0.01
2MASSW J0015447+351603,2MASSW J0015447+351603,3.9366,35.2674,1945,192,1.04,0.2,64.45,24.39,5.19,0.42
SDSS J001608.44-004302.3,2MASS J00160844-0043021,4.0352,-0.7174,1416,126,1.06,0.18,41.09,24.29,4.97,0.48
SDSS J001637.62-103911.2,2MASS J00163762-1039106,4.1568,-10.653,2321,208,1.04,0.18,74.0,25.11,5.25,0.38
PSO J004.1834+23.0741,2MASS J00164364+2304262,4.182,23.0739,1201,98,1.06,0.17,27.35,21.97,4.8,0.49
2MASS J00165953-4056541,2MASS J00165953-4056541,4.2481,-40.9483,1713,86,1.43,0.14,15.89,12.04,4.3,0.28
PSO J004.6359+56.8370,PSO J004.6359+56.8370,4.6357,56.8369,958,17,1.2,0.01,12.16,0.84,4.34,0.04
PSO J004.7148+51.8918,PSO J004.7148+51.8918,4.7133,51.8918,1393,124,1.06,0.18,39.99,24.26,4.96,0.48
SDSS J001911.65+003017.8,2MASS J00191165+0030176,4.7986,0.5049,2229,203,1.02,0.18,70.01,24.42,5.24,0.39
2MASS J00192626+4614078,PM J00194+4614,4.8594,46.2355,2941,30,1.59,0.03,103.53,5.85,5.03,0.03
NLTT 1011B,2MASS J00193275+4018576,4.8865,40.3159,2264,54,0.98,0.03,81.46,7.84,5.35,0.07
2MASS J00193927-3724392,2MASS J00193927-3724392,4.9137,-37.4109,1834,92,1.29,0.12,25.01,10.26,4.59,0.25
Koenigstuhl 1B,Koenigstuhl 1B,5.2747,-42.7454,2276,29,1.18,0.02,51.88,3.6,4.99,0.04
SDSS J002209.31-011040.2,2MASS J00220932-0110399,5.5388,-1.1778,2327,207,1.05,0.18,73.63,25.16,5.24,0.38
PSO J005.6302-06.8669,PSO J005.6302-06.8669,5.6307,-6.8671,1396,121,1.06,0.18,40.25,24.27,4.96,0.48
BRI 0021-0214,V* DY Psc,6.1026,-1.9722,2470,211,1.08,0.18,81.07,26.12,5.26,0.37
PC 0025+0447,PC 0025+0447,6.9249,5.0616,1968,112,1.31,0.13,27.16,11.57,4.62,0.26
2MASS J00282091+2249050,2MASS J00282091+2249050,7.0875,22.8178,1378,54,1.34,0.1,11.77,10.04,4.32,0.25
2MASSI J0028394+150141,2MASSI J0028394+150141,7.1643,15.0282,1376,79,1.38,0.04,13.11,1.5,4.25,0.03
2MASS J00285545-1927165,2MASS J00285545-1927165,7.231,-19.4546,2535,219,1.11,0.19,84.78,26.83,5.26,0.38
HIP 2397B,2MASS J00302476+2244492,7.6033,22.7469,2253,20,0.97,0.01,81.92,3.91,5.36,0.03
2MASSW J0030300-145033,2MASSW J0030300-145033,7.6256,-14.8427,1235,39,1.35,0.04,10.14,1.06,4.16,0.03
2MASSW J0030438+313932,2MASSW J0030438+313932,7.6827,31.6589,2106,198,1.01,0.19,64.1,24.23,5.21,0.4
PSO J007.9194+33.5961,2MASS J00314067+3335459,7.9195,33.5961,1222,100,1.07,0.17,28.27,22.42,4.81,0.49
2MASS J00320509+0219017,2MASS J00320509+0219017,8.0212,2.3172,2045,192,1.0,0.19,62.82,23.85,5.21,0.4
2MASSI J0032431-223727,2MASS J00324308-2237272,8.1796,-22.6242,2076,195,1.01,0.19,63.58,24.07,5.21,0.4
EROS-MP J0032-4405,EROS-MP J0032-4405,8.2327,-44.0849,2056,21,1.17,0.02,41.43,2.45,4.89,0.04
SDSSp J003259.36+141036.6,2MASS J00325937+1410371,8.2473,14.1769,1389,126,1.06,0.18,38.98,24.32,4.95,0.49
2MASS J00332386-1521309,2MASS J00332386-1521309,8.3495,-15.3586,1401,56,1.35,0.11,11.93,9.98,4.31,0.25
2MASS J00345157+0523050,2MASS J00345157+0523050,8.7144,5.3846,775,57,1.09,0.16,16.12,16.34,4.55,0.51
2MASSI J0034568-070601,2MASS J00345684-0706013,8.7369,-7.1004,1323,122,1.06,0.18,35.0,23.87,4.9,0.49
SDSS J003609.26+241343.3,2MASS J00360925+2413434,9.0386,24.2287,1273,60,1.38,0.1,10.96,9.34,4.17,0.26
SDSS J003843.99+134339.5,2MASS J00384398+1343395,9.6833,13.7276,2434,215,1.1,0.19,80.15,26.16,5.25,0.37
HD 3651B,*  54 Psc B,9.8288,21.2547,785,12,0.85,0.02,45.96,4.05,5.22,0.06
PSO J009.8334+58.5781,2MASS J00391959+5834426,9.8318,58.5785,1455,134,1.06,0.18,43.16,24.31,5.0,0.47
