name,name_simbadable,ref_discovery,flag,ref_flag,age_category,age_category_justification,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,designation_P1_formula,g_P1,gerr_P1,ref_g_P1,r_P1,rerr_P1,ref_r_P1,i_P1,ierr_P1,ref_i_P1,z_P1,zerr_P1,ref_z_P1,y_P1,yerr_P1,ref_y_P1,designation_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,designation_ukidss,J_ukidss,Jerr_ukidss,H_ukidss,Herr_ukidss,K_ukidss,Kerr_ukidss,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,designation_WISE,W1,W1err,ref_W1,W2,W2err,ref_W2,W3,W3err,ref_W3,W4,W4err,ref_W4,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,dist_formula,disterr_formula,dist_formula_source,spex_slit_size,spex_prism_snr,spex_prism_ref,best_fit_atmo_model_name,reduced_chi2_best_fit,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err,lbol_flag,evo_model_name,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
SDSS J000013.54+255418.6,2MASS J00001354+2554180,Knap04,Null,Null,Field,UCS+BANYAN,0.0565,25.905,PS1,PSO J000.0563+25.9054,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,19.168,0.014,Cham16,17.425,0.011,Cham16,2MASS J00001354+2554180,15.063,0.041,Cutr03,14.731,0.12,Cutr03,14.836,0.12,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,14.73,0.03,Knap04,14.74,0.03,Knap04,14.82,0.03,Knap04,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,13.72,0.03,13.07,0.03,Legg07,70.8,1.9,Dupu12,Null,Null,Null,Null,T5,Pine16,T4.5,Burg06b,25,24.5,24.5,14.1,0.4,dist_plx_formula,0.5,73.0; 227.0; 78.0; 78.0; 42.0; 86.0,Burg06b,ATMO 2020,15.8,1200,0.94,4.5,-4.78,0.04,FALSE,SM08,1130,91,1.06,0.17,25.16,20.44,4.76,0.49
PSO J000.2794+16.6237,Gaia DR2 2772504778021649152,Alle16b; phot Reyl18; Sang23,lowg,Alle16b,INT-G,Alle16b,0.2792,16.6241,Gaia23,PSO J000.2794+16.6237,NaN,NaN,Null,21.097,0.035,Cham16,18.537,0.007,Cham16,17.267,0.004,Cham16,16.525,0.003,Cham16,2MASS J00010700+1637266,15.031,0.041,Cutr03,14.438,0.071,Cutr03,13.877,0.054,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,14.969,0.041,usyn23,14.468,0.071,usyn23,13.907,0.054,usyn23,CWISE J000107.06+163725.5,13.715,0.014,Maro21,13.497,0.012,Maro21,12.179,0.378,Cutr13,8.826,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,13.2,0.4,Gaia23,Null,Null,INT-G,Alle16b,Null,Null,M7.2 INT-G,Alle16b,NaN,7.2,7.2,75.8,2.3,dist_plx_formula,0.5,58.0; 60.0; 42.0; 41.0; 34.0; 34.0,Alle16b; Sang23,BT-Settl,12,2600,1.33,4,-3.12,0.03,FALSE,BHAC15,2499,129,1.46,0.15,45.49,18.46,4.74,0.28
WISEA J000131.93-084126.9,2MASS J00013166-0841234,Luhm14c,Null,Null,Field,UCS+BANYAN,0.382,-8.69,Gaia23,PSO J000.3831-08.6909,NaN,NaN,Null,NaN,NaN,Null,20.209,0.029,Cham16,18.575,0.01,Cham16,17.571,0.011,Cham16,2MASS J00013166-0841234,15.712,0.05,Cutr03,15.034,0.09,Cutr03,14.698,0.09,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.651,0.05,Best21,15.117,0.09,Best21,14.67,0.09,Best21,CWISE J000132.04-084128.6,14.31,0.015,Maro21,14.021,0.016,Maro21,12.362,NaN,Cutr13,8.455,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,20.3,1.4,Gaia23,Null,Null,Null,Null,Null,Null,L1 pec (blue),Luhm14c,NaN,11,11,49,3,dist_plx_formula,0.8,40.0; 72.0; 39.0; 36.0; 34.0; 34.0,Luhm14c,BT-Settl,6.2,2300,0.74,4,-3.86,0.06,FALSE,SM08,1931,193,1.04,0.21,64,24.52,5.18,0.42
SDSS J000250.98+245413.8,2MASS J00025097+2454141,Chiu06,Null,Null,FLD-G,Sang23,0.7124,24.9039,PS1,PSO J000.7124+24.9037,NaN,NaN,Null,NaN,NaN,Null,22.297,0.084,Cham16,20.299,0.036,Cham16,19.315,0.027,Cham16,2MASS J00025097+2454141,17.165,0.224,Cutr03,16.06,0.217,Cutr03,15.656,0.217,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,17.022,0.026,Schn23b,16.026,0.053,Schn23b;UCS_23,15.49,0.022,Schn23b,CWISE J000250.99+245413.5,14.834,0.016,Maro21,14.574,0.021,Maro21,11.726,NaN,Cutr13,8.104,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,FLD-G,Sang23,Null,Null,L5.5,Chiu06,NaN,15.5,15.5,50,7,dist_W2_formula,0.5,12.0; 27.0; 20.0; 21.0; 18.0; 17.0,Chiu06,BT-Settl,8.9,1800,0.76,5,-4.25,0.12,FALSE,SM08,1369,67,1.33,0.11,11.74,10.11,4.32,0.25
2MASS J00054844-2157196,SSSPM J0006-2157,Reyl04,Null,Null,Field,UCS+BANYAN,1.4519,-21.9555,Gaia23,PSO J001.4543-21.9558,21.343,0.06,Cham16,19.949,0.013,Cham16,17.105,0.001,Cham16,15.689,0.003,Cham16,14.837,0.006,Cham16,2MASS J00054844-2157196,13.274,0.025,Cutr03,12.617,0.024,Cutr03,12.201,0.03,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.238,0.025,Best21,12.677,0.024,Best21,12.178,0.03,Best21,CWISE J000549.34-215721.9,11.94,0.015,Maro21,11.668,0.011,Maro21,11.312,0.168,Cutr13,8.83,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,39.38,0.15,Gaia23,Null,Null,Null,Null,M9,Reid08b,Null,Null,9,NaN,9,25.39,0.1,dist_plx_formula,0.5,204.0; 337.0; 256.0; 245.0; 202.0; 204.0,Bard14,BT-Settl,37.1,2500,1.05,4.5,-3.41,0.02,FALSE,BHAC15,2467,212,1.07,0.18,81.47,26.08,5.26,0.38
2MASSI J0006205-172051,2MASS J00062050-1720506,Kend03a,Null,Null,Field,UCS+BANYAN,1.5854,-17.3475,Gaia23,PSO J001.5852-17.3474,NaN,NaN,Null,22.49,0.098,Cham16,20.259,0.009,Cham16,18.832,0.014,Cham16,17.803,0.014,Cham16,2MASS J00062050-1720506,15.662,0.065,Cutr03,14.646,0.052,Cutr03,14.01,0.052,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.607,0.065,Best21,14.723,0.052,Best21,13.988,0.052,Best21,CWISE J000620.45-172050.6,13.466,0.015,Maro21,13.163,0.011,Maro21,12.334,0.41,Cutr13,8.864,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,25.2,1.9,Gaia23,Null,Null,Null,Null,L2.5,Kend03a,L3.0,Bard14,12.5,13,12.5,40,3,dist_plx_formula,0.5,44.0; 114.0; 102.0; 91.0; 96.0; 102.0,Bard14,BT-Settl,36.7,1700,1.39,5.5,-3.84,0.07,FALSE,SM08,1951,194,1.04,0.2,64.73,24.47,5.19,0.42
WISEA J000622.67-131955.2,2MASS J00062287-1319503,Luhm14c,specblend,Robe16,Field,UCS+BANYAN,1.5953,-13.3308,PS1,PSO J001.5944-13.3322,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,19.688,0.016,Cham16,18.791,0.13,Cham16,2MASS J00062287-1319503,16.674,0.126,Cutr03,15.548,0.127,Cutr03,15.115,0.127,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.7,0.11,Robe16,15.81,0.09,Robe16,14.86,0.04,Robe16,CWISE J000622.59-131957.7,14.212,0.013,Maro21,13.803,0.014,Maro21,12.261,NaN,Cutr13,9.049,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,L5 pec,Luhm14c,NaN,15,15,36,5,dist_W2_formula,0.8,12.0; 25.0; 20.0; 17.0; 22.0; 24.0,Luhm14c,BT-Settl,3,1500,1.01,5.5,-4.33,0.14,FALSE,SM08,1467,137,1.06,0.18,44.04,24.44,5.01,0.48
SDSS J000632.60+140606.3,2MASS J00063258+1406064,West08a,Null,Null,Field,UCS+BANYAN,1.6358,14.1018,PS1,PSO J001.6361+14.1018,NaN,NaN,Null,NaN,NaN,Null,20.183,0.018,Cham16,18.713,0.012,Cham16,17.717,0.006,Cham16,2MASS J00063258+1406064,15.849,0.062,Cutr03,15.302,0.147,Cutr03,15.06,0.147,Cutr03,ULAS J000632.63+140606.6,15.9,0.007,15.263,0.01,14.722,0.01,15.9,0.007,Lawr12,15.263,0.01,Lawr12,14.722,0.01,Lawr12,CWISE J000632.69+140606.6,14.303,0.016,Maro21,14.05,0.016,Maro21,11.703,NaN,Cutr13,8.491,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,L0,West08a,L0.4,Bard14,10,10.4,10,67,5,dist_W2_formula,0.5,45.0; 89.0; 64.0; 62.0; 45.0; 51.0,Bard14,BT-Settl,23.7,2300,0.95,4,-3.65,0.07,FALSE,BHAC15,2195,203,1.03,0.19,67.41,24.62,5.22,0.39
2MASS J00070787-2458042,LEHPM 193,Reyl04,Null,Null,Field,UCS+BANYAN,1.7829,-24.9679,Gaia23,PSO J001.7835-24.9680,20.792,0.027,Cham16,19.375,0.011,Cham16,16.753,0.003,Cham16,15.468,0.006,Cham16,14.717,0.004,Cham16,2MASS J00070787-2458042,13.115,0.024,Cutr03,12.447,0.024,Cutr03,12.06,0.023,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.093,0.024,Best21,12.504,0.024,Best21,12.037,0.023,Best21,CWISE J000708.10-245805.2,11.843,0.012,Maro21,11.634,0.008,Maro21,11.36,0.172,Cutr13,8.455,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,32.58,0.14,Gaia23,Null,Null,Null,Null,M7,Cruz07,Null,Null,7,NaN,7,30.69,0.13,dist_plx_formula,0.5,202.0; 312.0; 231.0; 218.0; 187.0; 191.0,Bard14,BT-Settl,136.3,2500,1.38,4,-3.17,0.02,TRUE,BHAC15,2692,213,1.19,0.19,95.14,27.73,5.25,0.36
PSO J002.0878+52.0687,Null,Sang23,Null,Null,Field,UCS+BANYAN,2.0877,52.0697,PS1,PSO J002.0878+52.0687,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,19.378,0.035,Cham16,2MASS J00082109+5204097,16.69,0.151,Cutr03,16.244,0.349,Cutr03,16.222,0.349,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.536,0.024,Sang23,16.601,0.057,Sang23,16.49,0.058,Sang23,CWISE J000821.09+520406.7,16.355,0.04,Maro21,14.915,0.027,Maro21,12.758,0.402,Cutr13,9.325,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,T5,Sang23,NaN,25,25,28,4,dist_W2_formula,0.8,12.0; 32.0; 9.0; 13.0; 3.0; 11.0,Sang23,ATMO 2020,2.8,1200,0.81,5,-4.91,0.13,FALSE,SM08,1046,88,1.07,0.17,23.17,19.62,4.72,0.5
