# %ECSV 1.0
# ---
# datatype:
# - {name: Sources, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Sources
2MASS J06462756+7935045
2MASS J14532303+1543081
2MASS J21442847+1446077
CFHT-IC 348-15
CWISE J000021.45-481314.9
CWISE J002029.72-153527.5
CWISE J002101.45-334631.5
CWISE J002159.02-451434.4
CWISE J002414.30-403053.7
CWISE J002658.73-260859.6
CWISE J004218.67+291730.6
CWISE J004945.38+423619.3
CWISE J005635.48-240401.9
CWISE J010424.50+133949.8
CWISE J011003.61-592650.8
CWISE J012715.52-300246.9
CWISE J013719.04+342837.6
CWISE J015905.58+105551.5
CWISE J020538.20+594452.2
CWISE J022454.80+152629.5
CWISE J025645.16-335008.9
CWISE J030005.73-062218.6
CWISE J032853.32-112332.6
CWISE J055515.83+510514.0
CWISE J055909.00-384219.8
CWISE J060202.17-462447.8
CWISE J062000.01+344641.3
CWISE J062648.96+594129.2
CWISE J062727.34-002826.8
CWISE J062909.21+395701.6
CWISE J065752.45+163350.2
CWISE J073831.31+525453.7
CWISE J073844.52-664334.6
CWISE J080912.95+741704.3
CWISE J085131.24-603056.2
CWISE J091558.53+254713.0
CWISE J091902.55-574837.3
CWISE J094352.22+335639.1
CWISE J095259.54-505418.9
CWISE J101017.43-242300.4
CWISE J101317.51-010313.6
CWISE J101523.92-111539.6
CWISE J103734.29-050749.8
CWISE J104053.42-355029.7
CWISE J115229.05-351105.9
CWISE J124033.48+460544.7
CWISE J125858.20+001133.2
CWISE J130329.90+512754.0
CWISE J130446.64-120023.6
CWISE J131355.15+223005.6
CWISE J132539.70+022309.4
CWISE J132857.58-063747.4
CWISE J133211.93-374837.9
CWISE J133427.70-273053.1
CWISE J141737.21+041847.2
CWISE J143935.94-804851.5
CWISE J143951.51+260000.3
CWISE J144057.87+380432.8
CWISE J151939.68-485820.4
CWISE J152742.44-121528.2
CWISE J153910.07+722757.2
CWISE J160654.19-103214.7
CWISE J162511.27+774946.8
CWISE J165143.63+695259.4
CWISE J165325.10+490439.7
CWISE J171308.00+644220.8
CWISE J171700.57+724437.3
CWISE J173859.73+200501.2
CWISE J174426.85+230355.1
CWISE J174509.03+380733.2
CWISE J190909.62+553027.1
CWISE J192425.03-532837.1
CWISE J195956.16-644318.1
CWISE J200813.66-124502.4
CWISE J202934.80-791013.1
CWISE J205247.07+053855.7
CWISE J210640.16+250729.0
CWISE J212342.88+655615.6
CWISE J214129.80-024623.6
CWISE J214213.99-204659.8
CWISE J221418.15+253432.2
CWISE J221706.28-145437.6
CWISE J224452.18-362946.0
CWISE J225525.22-302320.8
CWISE J231824.58+052142.3
CWISE J233531.55+014219.6
CWISE J235827.96-521813.4
CWISEP J001146.07-471306.8
CWISEP J003507.77-153233.8
CWISEP J004158.35+381811.9
CWISEP J021243.55+053147.2
CWISEP J022122.41-564125.0
CWISEP J031935.50-041231.7
CWISEP J034514.82+173528.1
CWISEP J040106.67+085748.5
CWISEP J040351.00-491605.6
CWISEP J042404.54+665011.2
CWISEP J044719.61+202158.1
CWISEP J052346.34-545314.7
CWISEP J093236.66-180029.3
CWISEP J100629.01+105408.5
CWISEP J104104.20+221613.6
CWISEP J104446.56+001754.9
CWISEP J131221.97-310845.7
CWISEP J131252.97+341746.5
CWISEP J143439.23-134421.4
CWISEP J160311.60-104620.4
CWISEP J161822.86-062310.2
CWISEP J215841.50+732842.7
CWISEP J223138.55-383057.2
CWISEP J224916.17+371551.4
CWISEP J225059.28-432057.2
CWISEP J225109.50-074037.7
CWISEP J235130.42-185800.2
GJ 618.1B
HIP 76456B
LSPM J1925+0938
PSO J070.3773+04.7333
PSO J133.8302+06.0160
PSO J135.0395+32.0845
PSO J260.1623+61.7636
PSO J282.5878+34.7691
SDSS J085858.92+180445.7
SDSS J154343.92-014737.3
SDSS J164748.33+190933.7
SR12 C
UGPS J052127.27+364048.6
WISE J014656.66+423410.0B
WISE J082650.64+285251.9
WISE J102757.73+340143.6
WISE J103658.89+033620.4
WISE J1049-5319A
WISE J1049-5319B
WISE J134555.25+022247.2
WISE J152434.49+002057.5
WISE J235408.36+551854.5
WISEA J003631.29-642735.6
WISEA J014603.23-261908.7
WISEA J015601.22+525304.4
WISEA J020201.25-313645.2
WISEA J035410.03-572104.0
WISEA J061713.07+670400.8
WISEA J071121.36-573634.2
WISEA J083011.95+283716.0
WISEA J085510.74-071442.5
WISEA J131102.03+312107.9
WISEA J152529.09+605356.5
WISEA J162716.41-244355.4
WISEA J165902.66+274747.9
WISEA J175701.50+183215.2
WISEA J213810.99+373312.9
WISEA J235120.62-700025.8
WISEPA J045853.89+643452.9B
WISEPA J171104.60+350036.8B
WISEPC J121756.91+162640.2B
WISEU J001908.31-094323.3
WISEU J004851.21+250814.9
WISEU J013522.46-221957.3
WISEU J050305.68-564834.0
