# %ECSV 1.0
# ---
# datatype:
# - {name: No Match, datatype: string}
# delimiter: ','
# schema: astropy-2.0
No Match
LP 584-4
SIMP J00044599-2007410
WISEA J000458.47-133655.1
ULAS J000509.42+101407.7
WISEA J000536.63-263311.8
WISEA J000538.83+020951.2
2MASS J00062250+1300451
SIMP J00063158-2158225
2MASS J00065552+0236376
SIMP J00081285+0806441
2MASS J00082822+3125581
ULAS J000844.34+012729.4
WISEA J000856.39-281321.7
2MASS J00100480-0930519
SIMP J00132128+0841006
2MASS J00133470+1109403
2MASS J00150673+3006004
WISEA J002050.25-151913.1
ULAS J002136.01+155227.3
LHS 1070
SIMP J00265329-0936267
SSSPM J0027-5402
HD 2562 B
WISEA J003052.08-380829.6
LP 12-440
2MASS J00435012+0928429
2MASS J00452972+4237438
2MASS J00501561+1012431
PSO J012.7+007.0
WISEA J005122.35-225133.5
WISEA J005811.69-565332.1
2MASS J01001471-0301494
WISEA J010134.83+033616.0
SIMP J01031050+1940463
G 69-47
WISEA J010631.20-231415.1
WISEA J010738.75-131413.7
ULAS J010907.51+062559.0
WISEA J011049.18+192000.1
2MASS J01114355+2820024
WISEA J011157.18+121132.5
2MASS J01145788+4318561
CWISE J011558.74-461620.8
2MASS J01165802+4333081
2MASS J01183399+1810542
CWISE J011931.78-493750.4
2MASS J01194279+1122427
ULAS J012252.58+043735.3
LSR J0124+6819
2MASS J01265549-5022388
2MASS J01270282-5023210
PSO J021.8186+21.9929
LEHPM 1563
PSO J022.1+033.3
ULAS J012947.35+151143.1
2MASS J01341675-0546530
2MASS J01343635-0145444
WISEA J013556.99-620245.5
2MASS J01385967+8110079
2MASS J01390900+8109597
2MASS J01392388-1845029
2MASS J01394906+3427226
2MASSW J0140026+270150
2MASS J01412651+1001339
2MASS J01414428+2227409
2MASS J01442482-0430031
WISEA J014535.23-031412.9
CWISE J014610.99-050850.4
CWISE J014611.20-050850.0
SIMP J01481626+3712421
CWISE J015042.24-462155.3
SIMP J01512665+3824122
CWISE J015349.89+613746.3
WISEA J020047.29-510521.4
WISEA J020229.29+230513.9
APMPM J0207-3722
SIMP J02110979-1427349
2MASS J02151451+0453179
2MASS J02155892-0929121 C
CWISE J021705.51+075849.9
LP 245-10
Ross 19B
WISEA J022609.16-161000.4
WISEA J022721.93+235654.3
WISEA J023119.81+281144.4
2MASS J02314893+4521059
DENIS J023549.5-071121
Gl 105 C
WISEA J023749.81-260543.8
SIMP J02512861-0818254
2MASS J02540582-1934523
WISEA J025805.29-321917.4
WISEA J025954.88-314655.6
SIMP J03070255+0852139
