# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
ULAS J000010.43+113602.2 W3,only upper error
ULAS J000010.43+113602.2 W4,only upper error
SDSS J000013.54+255418.6,missing wise designation name
SDSS J000013.54+255418.6,missing proper motion values
SDSS J000013.54+255418.6 W1,only upper error
SDSS J000013.54+255418.6 W2,only upper error
SDSS J000013.54+255418.6 W3,only upper error
SDSS J000013.54+255418.6 W4,only upper error
PSO J000.2794+16.6237 W4,only upper error
SDSS J000112.18+153535.5 W4,only upper error
WISEA J000131.93-084126.9 W3,only upper error
WISEA J000131.93-084126.9 W4,only upper error
SDSS J000250.98+245413.8 W3,only upper error
SDSS J000250.98+245413.8 W4,only upper error
2MASSI J0003422-282241,missing proper motion values
2MASSI J0003422-282241 W4,only upper error
2MASS J00040288-6410358 W4,only upper error
WISEA J000430.66-260402.3 W3,only upper error
WISEA J000430.66-260402.3 W4,only upper error
LHS 102BC,missing proper motion values
LHS 102BC W4,only upper error
2MASS J00044144-2058298 W4,only upper error
2MASS J00045753-1709369 W4,only upper error
WISE J000517.48+373720.5 W4,only upper error
2MASS J00054844-2157196 W4,only upper error
ULAS J000613.24+154020.7 W3,only upper error
ULAS J000613.24+154020.7 W4,only upper error
SDSS J000614.06+160454.5 W3,only upper error
SDSS J000614.06+160454.5 W4,only upper error
2MASSI J0006205-172051 W4,only upper error
WISEA J000622.67-131955.2 W3,only upper error
WISEA J000622.67-131955.2 W4,only upper error
WISEA J000627.85+185728.8 W3,only upper error
WISEA J000627.85+185728.8 W4,only upper error
SDSS J000632.60+140606.3 W3,only upper error
SDSS J000632.60+140606.3 W4,only upper error
SDSS J000646.81+151225.8 W3,only upper error
SDSS J000646.81+151225.8 W4,only upper error
SDSS J000649.16-085246.3,missing proper motion values
SDSS J000649.16-085246.3 W4,only upper error
DENIS J0006579-643654 W4,only upper error
2MASS J00070787-2458042 W4,only upper error
ULAS J000734.90+011247.1 W3,only upper error
ULAS J000734.90+011247.1 W4,only upper error
PSO J002.0878+52.0687 W4,only upper error
WISEPC J000849.76-173922.6 W3,only upper error
WISEPC J000849.76-173922.6 W4,only upper error
2MASS J00100009-2031122 W4,only upper error
ULAS J001040.57+010013.1 W3,only upper error
ULAS J001040.57+010013.1 W4,only upper error
2MASS J00132229-1143006 W3,only upper error
2MASS J00132229-1143006 W4,only upper error
WISE J001354.39+063448.1 W3,only upper error
WISE J001354.39+063448.1 W4,only upper error
2MASSI J0013578-223520 W3,only upper error
2MASSI J0013578-223520 W4,only upper error
2MASS J00135882-1816462 W3,only upper error
2MASS J00135882-1816462 W4,only upper error
HD 984 B,missing wise designation name
HD 984 B,missing proper motion values
HD 984 B W1,only upper error
HD 984 B W2,only upper error
HD 984 B W3,only upper error
HD 984 B W4,only upper error
WISEA J001449.96+795116.1 W3,only upper error
WISEA J001449.96+795116.1 W4,only upper error
WISEA J001450.17-083823.4 W3,only upper error
WISEA J001450.17-083823.4 W4,only upper error
2MASS J00145575-4844171 W4,only upper error
2MASS J00150206+2959323 W4,only upper error
WISE J001505.87-461517.6 W3,only upper error
WISE J001505.87-461517.6 W4,only upper error
2MASSW J0015447+351603 W4,only upper error
HD 1160B,missing wise designation name
HD 1160B,missing proper motion values
HD 1160B W1,only upper error
HD 1160B W2,only upper error
HD 1160B W3,only upper error
HD 1160B W4,only upper error
SDSS J001608.44-004302.3 W3,only upper error
SDSS J001608.44-004302.3 W4,only upper error
SDSS J001637.62-103911.2 W4,only upper error
PSO J004.1834+23.0741 W4,only upper error
2MASS J00165953-4056541 W4,only upper error
2MASS J00182834-6703130 W4,only upper error
ULAS J001836.51-002559.1 W3,only upper error
ULAS J001836.51-002559.1 W4,only upper error
2MASS J00184613-6356122 W4,only upper error
PSO J004.7148+51.8918 W4,only upper error
PSO J004.7818+41.0231 W4,only upper error
WISEU J001908.31-094323.3,missing wise designation name
WISEU J001908.31-094323.3 W3,only upper error
WISEU J001908.31-094323.3 W4,only upper error
SDSS J001911.65+003017.8 W4,only upper error
2MASS J00191296-6226005 W4,only upper error
2MASS J00192626+4614078 W4,only upper error
NLTT 1011B W4,only upper error
2MASS J00193927-3724392 W4,only upper error
2MASSI J0019457+521317 W4,only upper error
Koenigstuhl 1B W4,only upper error
Koenigstuhl 1A W4,only upper error
SDSS J002138.86+002605.8 W3,only upper error
SDSS J002209.31-011040.2 W3,only upper error
SDSS J002209.31-011040.2 W4,only upper error
PSO J005.6302-06.8669 W4,only upper error
ULAS J002406.37+134705.3 W3,only upper error
ULAS J002406.37+134705.3 W4,only upper error
ULAS J002422.94+002247.9 W3,only upper error
ULAS J002422.94+002247.9 W4,only upper error
BRI 0021-0214 W4,only upper error
2MASSI J0025036+475919,missing proper motion values
2MASSI J0025036+475919 W4,only upper error
LHS 1074 W3,only upper error
LHS 1074 W4,only upper error
SDSS J002611.45-094341.1 W3,only upper error
SDSS J002611.45-094341.1 W4,only upper error
WISEA J002656.73-542854.8 W4,only upper error
CWISE J002727.44-012101.7 W3,only upper error
CWISE J002727.44-012101.7 W4,only upper error
PC 0025+0447 W4,only upper error
SDSS J002800.37+010252.0 W3,only upper error
SDSS J002800.37+010252.0 W4,only upper error
WISEA J002810.59+521853.1 W3,only upper error
WISEA J002810.59+521853.1 W4,only upper error
2MASS J00282091+2249050 W4,only upper error
ULAS J002827.56+142349.1 W3,only upper error
ULAS J002827.56+142349.1 W4,only upper error
2MASSI J0028394+150141 W3,only upper error
