# %ECSV 1.0
# ---
# datatype:
# - {name: Bad Flags, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Bad Flags
SDSS J000013.54+255418.6
HD 984 B
HD 1160B
WISEU J001908.31-094323.3
HD 3651B
HD 3861B
WISEU J004851.21+250814.9
2MASS J01033563-5515561(AB)b
2MASS J01225093-2439505B
ULAS J012855.07+063357.0
WISEU J013522.46-221957.3
WISEA J014603.23-261908.7
GSC 08047-00232B
HIP 9269B
WISEA J020201.25-313645.2
2MASS J02132062+3648506C
2MASS J02192210-3925225B
CFBDS J022644.65-062522.0
NLTT 8245B
GJ 1048B
HD 19467B
ULAS J032122.98+005105.2
1RXS J034231.8+121622 B
CFHT-IC 348-6
CFHT-IC 348-7
CFHT-IC 348-15
CFHT-IC 348-18
CFHT-IC 348-23
FU Tau B
DH Tau B
51 Eri b
LkCa 15 b
PSO J070.3773+04.7333
2MASS 0441+2301 Bab
2MASS 0441+2301 Aab
WISEU J050305.68-564834.0
UGPS J052127.27+364048.6
S Ori J053804.65-021352.5
S Ori 70
S Ori 60
HIP 26653B
beta Pic b
beta Pic c
CD-35 2722B
Gl 229B
HD 253662B
AB Pic b
HD 46588B
HD 49197B
UGPS J065227.71+032431.0
ULAS J074502.79+233240.3
HD 65216BC
NLTT 19109B
ULAS J082327.46+002424.4
ULAS J082707.67-020408.2
WISEA J083011.95+283716.0
eta Cnc B
ULAS J083258.66+011241.9
ULAS J083334.60-014454.7
eta Pyx B
PSO J133.8302+06.0160
SDSS J085858.92+180445.7
PSO J135.0395+32.0845
Gl 337CD
ULAS J094349.60+094203.4
LP 261-75B
NLTT 23716B
HD 89744B
HIP 51877B
ULAS J105235.42+001632.7
HD 95086b
ULAS J110242.39+012021.9
CT Cha B
CHXR 73B
CFBDS J111807-064016
TWA 5B
ULAS J115038.79+094942.9
NLTT 29395B
NTTDF J1205-0744
HD 106906 b
ULAS J122633.36+152106.9
ULAS J123153.60+091205.4
GOODS-N i'-Drop 2
ULAS J125359.78+265855.5
WISP 130525.51-253828.8
HD 114762B
GJ 504 B
HIP 65423B
HIP 65426 b
HIP 65517B
SDSS J133348.24+273508.8
ULAS J134322.94-010844.0
ULAS J134940.81+091833.3
PDS 70b
PDS 70c
SDSS J141126.20+200911.1B
SDSS J143317.78+101123.3B
G 239-25B
HIP 72099B
NLTT 38489B
HD 130948BC
2MASS J14532303+1543081
Gl 569B
NLTT 39312B
beta Cir B
WISEA J152529.09+605356.5
ULAS J153406.06+055643.9
HIP 76456B
SDSS J154343.92-014737.3
2MASS J15470557-1626303B
GQ Lup b
HIP 78530B
UScoCTIO 108b
HIP 78923B
1RXS J160929.1-210524B
Usco J161031.9-191305B
HR 6037Bab
GJ 618.1B
GSC 06214-00210B
ROXs 12 b
LSPM J1627+3328B
SR12 C
HQT-2
ROXs 42Bb
SDSS J164748.33+190933.7
GJ 660.1B
LSPM J1717+5925B
PSO J260.1623+61.7636
VVV BD001
LTT 7251B
PSO J282.5878+34.7691
PZ Tel B
HR 7329B
GJ 758B
LSPM J1925+0938
HR 7672B
zeta Del B
Gl 802B
chi Cap E
chi Cap F
HD 203030B
ULAS J213352.64-010343.4
HN Peg B
SIMP J21483578+2239427
NLTT 52268B
LSPM J2153+1157B
PHL 5038B
2MASS J22362452+4751425 b
G 216-7B
HIP 112422B
NLTT 55219B
ULAS J225649.51+005452.5
HR 8799b
HR 8799c
HR 8799d
HR 8799e
HD 221356D
kappa And B
ULAS J234827.94+005220.5
1RXS J235133.3+312720 B
