FILENAME,OBJECT,RA_TARG,DEC_TARG,DATE-OBS,TELESCOP,INSTRUME,AUTHOR,Reference,BUNIT,Regime
BCSpec_1227m0447.txt,2MASS J12270506-0447207,186.7710085,-4.7890833,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
BCSpec_1411m4524.txt,2MASS J14114474-4524153,212.9361037,-45.4043026,2014-05-04,du Pont,BCSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
BCSpec_1614m8151.txt,2MASS J16141954-8151154,243.1122917,-81.8578333,2014-05-02,du Pont,BCSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0336p0010.txt,2MASS J03361338+0010129,54.055665902,0.1702744436,2014-10-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0723+0316.txt,LSPM J0723+0316,110.9293666,3.2727198,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1941m0208.txt,PM J19418-0208,295.3981950,-2.1460833,2014-06-26,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0130m1047.txt,WISEA J013012.66-104732.4,22.5523774,-10.7913536,2015-12-10,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0043p2212.txt,WISEA J004326.26+222124.0,10.8588758,22.3578851,2014-10-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0559-2903.txt,APMPM J0559-2903,89.7455128,-29.0574191,2014-02-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_2134p7132.txt,2MASS J21340795+7132312,323.5336202,71.5421521,2014-10-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1434p2202.txt,2MASS J14343616+2202463,218.6507107,22.0462443,2014-02-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1158p0447.txt,ULAS J115826.62+044746.8,179.6109366,4.7963890,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1256-1408.txt,SSSPM J1256-1408,194.0583877,-14.1445604,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1425p7102.txt,LSPM J1425+7102,216.2709223,71.0360241,2014-02-24,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1416+1348.txt,SDSS J141624.08+134826.7,214.1003082,13.8072759,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1244p1024.txt,ULAS J124425.75+102439.3,191.1082044,10.4119942,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_1452p2723.txt,SDSS J145255.58+272324.4,223.2318279,27.3904304,2015-06-08,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
DSpec_0822+1700.txt,LSR J0822+1700,125.6406303,17.0052578,2014-02-23,Palomar,DSpec,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),optical
FIRE_1013m7246.txt,WISEA J101329.72-724619.2,153.3770190,-72.7730870,2015-02-08,Magellan I Baade,FIRE,Kirkpatrick et al.,Kirk16,erg / (cm2 s Angstrom),nir
fireprism_NIR_ULASJ133836.97-022910.7.txt,SDSS J133837.01-022908.4,204.6542120,-2.4856800,2012-05-08,Magellan I Baade,FIRE,Zhang et al. 2017a,Zhan17.2438,erg / (cm2 s Angstrom),nir
fireprism_NIR_J0414-5854.csv,WISEA J041451.67-585456.7,63.7152900,-58.9157500,2020-02-12,Magellan I Baade,FIRE,Schneider et al 2020,Schn20,erg / (cm2 s Angstrom),nir
fireprism_NIR_ULASJ124947.04+095019.8.txt,ULAS J124947.04+095019.8,192.4454711,9.8382541,2012-05-08,Magellan I Baade,FIRE,Zhang et al. 2017a,Zhan17.2438,erg / (cm2 s Angstrom),nir
