name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
ULAS J000010.43+113602.2,0.0432,11.6020,ULAS J000010.43+113602.2
SDSS J000013.54+255418.6,0.0565,25.9050,2MASS J00001354+2554180|SDSS J000013.54+255418.6|SDSS J000013.53+255418.7|TIC 117927630
YU-17558_28761,0.2792,16.6241,Gaia DR2 2772504778021649152|Gaia DR3 2772504778021649152
SDSS J000112.18+153535.5,0.3007,15.5932,2MASS J00011217+1535355|SDSS J000112.17+153535.4|SDSS J000112.18+153535.5|TIC 405229876|ULAS2MASS J0001+1535|ULAS J000112.24+153534.3|WISEA J000112.27+153533.6|WISE J000112.27+153533.8|Gaia DR3 2772182900286956160|Gaia DR2 2772182900286956160
WISEA J000131.93-084126.9,0.3820,-8.6900,2MASS J00013166-0841234|TIC 176255248|WISE J000131.93-084126.9|Gaia DR3 2441115138800140032
SDSS J000250.98+245413.8,0.7124,24.9039,2MASS J00025097+2454141|SDSS J000250.98+245413.8|SDSS J000250.97+245413.8|TIC 118004655|WISEA J000250.98+245413.6|WISE J000250.97+245413.7
2MASSI J0003422-282241,0.9263,-28.3781,2MASS J00034227-2822410|2MASSI J0003422-282241|2MUCD 10002|TIC 12359301|WISEA J000342.53-282242.7|Gaia DR2 2333120453885963392|Gaia DR3 2333120453885963392
2MASS J00040288-6410358,1.0120,-64.1766,2MASS J00040288-6410358|TIC 355705590|WISEA J000403.00-641036.3|WISE J000402.97-641036.2|Gaia DR2 4901128090753842304
WISEA J000430.66-260402.3,1.1278,-26.0666,2MASS J00043065-2603596|PSO J001.1277-26.0675|TIC 12378460|WISEA J000430.66-260402.3
LHS 102BC,1.1453,-40.7351,2MASS J00043484-4044058|** ERO    1B|** GKI    2|GJ  1001 B|L  362-29 B|2MASSW J0004348-404405|2MUCD 20004|TIC 120459871|WDS J00046-4044Ba{comma}Bb|WDS J00046-4044B|WISEA J000435.49-404422.3|[B2006] J000434.8-404405|[GDF99] LHS 102B|Gaia DR3 4996141155411984128|Gaia DR2 4996141155411984128
2MASS J00044144-2058298,1.1728,-20.9750,2MASS J00044144-2058298|SIPS J0004-2058|TIC 20891859|WISEA J000442.04-205828.9|WISE J000442.03-205828.8|Gaia DR2 2340736324254735488|Gaia DR3 2340736324254735488
2MASS J00045753-1709369,1.2398,-17.1603,2MASS J00045753-1709369|DENIS J000457.5-170937|TIC 289575374|Gaia DR2 2414623952318068224|Gaia DR3 2414623952318068224
WISE J000517.48+373720.5,1.3191,37.6232,WISEA J000517.49+373720.4|WISE J000517.48+373720.5|EQ J0005+3737
2MASS J00054844-2157196,1.4519,-21.9555,2MASS J00054844-2157196|DENIS J000548.4-215719|LEHPM 162|SSSPM J0006-2157|TIC 20897388|USNO-B1.0 0680-00002047|WISEA J000549.00-215721.0|Gaia DR3 2340605825968413184|Gaia DR2 2340605825968413184
ULAS J000613.24+154020.7,1.5552,15.6723,BRLT 1|ULAS J000613.23+154020.7
SDSS J000614.06+160454.5,1.5586,16.0818,2MASS J00061406+1604546|SDSS J000614.06+160454.5|TIC 357351357|ULAS J000614.05+160454.2|WISEA J000614.06+160454.1|WISE J000614.06+160454.1|Gaia DR3 2772545047635682944
2MASSI J0006205-172051,1.5854,-17.3475,2MASS J00062050-1720506|2MASSI J0006205-172050|2MASSI J0006205-172051|TIC 289579255|Gaia DR2 2414607592787544320|Gaia DR3 2414607592787544320
WISEA J000622.67-131955.2,1.5953,-13.3308,2MASS J00062287-1319503|SIMP J0006228-131950|WISEA J000622.67-131955.6|WISE J000622.67-131955.2
WISEA J000627.85+185728.8,1.6158,18.9587,2MASS J00062779+1857320|TIC 301745452|WISEA J000627.85+185728.8
SDSS J000632.60+140606.3,1.6358,14.1018,2MASS J00063258+1406064|SDSS J000632.60+140606.2|SDSS J000632.60+140606.3|SDSS J000632.60+140606.4|TIC 357352845|ULAS J000632.63+140606.6|WISEA J000632.67+140606.5|WISE J000632.67+140606.6|Gaia DR2 2768703182208197632
SDSS J000646.81+151225.8,1.6950,15.2072,2MASS J00064683+1512260|SDSS J000646.81+151225.8|TIC 357352588|ULAS J000646.79+151225.7|WISEA J000646.78+151225.5|WISE J000646.77+151225.6
