# %ECSV 1.0,,
# ---,,
# datatype:,,
# - {name: Ultracool Sheet Name, datatype: string},
# - {name: SIMPLE Source Name, datatype: string},
# - {name: SIMPLE URL, datatype: string, subtype: json}
# delimiter: ',',
# schema: astropy-2.0,,
Ultracool Sheet Name,SIMPLE Source Name,SIMPLE URL
ULAS J000010.43+113602.2,ULAS J000010.43+113602.2,"""https://simple-bd-archive.org/solo_result/ULAS%20J000010.43%2B113602.2"""
SDSS J000013.54+255418.6,2MASS J00001354+2554180,"""https://simple-bd-archive.org/solo_result/2MASS%20J00001354%2B2554180"""
SDSS J000112.18+153535.5,2MASS J00011217+1535355,"""https://simple-bd-archive.org/solo_result/2MASS%20J00011217%2B1535355"""
WISEA J000131.93-084126.9,WISEA J000131.93-084126.9,"""https://simple-bd-archive.org/solo_result/WISEA%20J000131.93-084126.9"""
SDSS J000250.98+245413.8,SDSS J000250.98+245413.8,"""https://simple-bd-archive.org/solo_result/SDSS%20J000250.98%2B245413.8"""
2MASSI J0003422-282241,2MASS J00034227-2822410,"""https://simple-bd-archive.org/solo_result/2MASS%20J00034227-2822410"""
2MASS J00040288-6410358,2MASS J00040288-6410358,"""https://simple-bd-archive.org/solo_result/2MASS%20J00040288-6410358"""
WISEA J000430.66-260402.3,WISEA J000430.66-260402.3,"""https://simple-bd-archive.org/solo_result/WISEA%20J000430.66-260402.3"""
LHS 102BC,2MASS J00043484-4044058,"""https://simple-bd-archive.org/solo_result/2MASS%20J00043484-4044058"""
2MASS J00044144-2058298,2MASS J00044144-2058298,"""https://simple-bd-archive.org/solo_result/2MASS%20J00044144-2058298"""
2MASS J00045753-1709369,2MASS J00045753-1709369,"""https://simple-bd-archive.org/solo_result/2MASS%20J00045753-1709369"""
WISE J000517.48+373720.5,WISE J000517.48+373720.5,"""https://simple-bd-archive.org/solo_result/WISE%20J000517.48%2B373720.5"""
2MASS J00054844-2157196,2MASS J00054844-2157196,"""https://simple-bd-archive.org/solo_result/2MASS%20J00054844-2157196"""
ULAS J000613.24+154020.7,ULAS J000613.24+154020.7,"""https://simple-bd-archive.org/solo_result/ULAS%20J000613.24%2B154020.7"""
SDSS J000614.06+160454.5,SDSS J000614.06+160454.5,"""https://simple-bd-archive.org/solo_result/SDSS%20J000614.06%2B160454.5"""
2MASSI J0006205-172051,2MASSI J0006205-172051,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0006205-172051"""
WISEA J000622.67-131955.2,WISEA J000622.67-131955.2,"""https://simple-bd-archive.org/solo_result/WISEA%20J000622.67-131955.2"""
WISEA J000627.85+185728.8,WISEA J000627.85+185728.8,"""https://simple-bd-archive.org/solo_result/WISEA%20J000627.85%2B185728.8"""
SDSS J000632.60+140606.3,SDSS J000632.60+140606.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J000632.60%2B140606.3"""
SDSS J000646.81+151225.8,SDSS J000646.81+151225.8,"""https://simple-bd-archive.org/solo_result/SDSS%20J000646.81%2B151225.8"""
LP 704-48,LP 704-48,"""https://simple-bd-archive.org/solo_result/LP%20704-48"""
SDSS J000649.16-085246.3,SDSS J000649.16-085246.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J000649.16-085246.3"""
DENIS J0006579-643654,DENIS J0006579-643654,"""https://simple-bd-archive.org/solo_result/DENIS%20J0006579-643654"""
2MASS J00070787-2458042,2MASS J00070787-2458042,"""https://simple-bd-archive.org/solo_result/2MASS%20J00070787-2458042"""
ULAS J000734.90+011247.1,ULAS J000734.90+011247.1,"""https://simple-bd-archive.org/solo_result/ULAS%20J000734.90%2B011247.1"""
WISEPC J000849.76-173922.6,WISEPC J000849.76-173922.6,"""https://simple-bd-archive.org/solo_result/WISEPC%20J000849.76-173922.6"""
2MASS J00100009-2031122,2MASS J00100009-2031122,"""https://simple-bd-archive.org/solo_result/2MASS%20J00100009-2031122"""
ULAS J001040.57+010013.1,ULAS J001040.57+010013.1,"""https://simple-bd-archive.org/solo_result/ULAS%20J001040.57%2B010013.1"""
LSR J0011+5908,LSR J0011+5908,"""https://simple-bd-archive.org/solo_result/LSR%20J0011%2B5908"""
2MASS J00132229-1143006,2MASS J00132229-1143006,"""https://simple-bd-archive.org/solo_result/2MASS%20J00132229-1143006"""
WISE J001354.39+063448.1,WISE J001354.39+063448.1,"""https://simple-bd-archive.org/solo_result/WISE%20J001354.39%2B063448.1"""
2MASSI J0013578-223520,2MASSI J0013578-223520,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0013578-223520"""
